,א,ב,ג,ד,ה,ו,ז,ח,ט,י,כ,ל,מ,נ,ס,ע,פ,צ,ק,ר,ש,ת
81,אגע,בגע,גגע,דגע,הגע,וגע,זגע,חגע,טגע,יגע,כגע,לגע,מגע,נגע,סגע,עגע,פגע,צגע,קגע,רגע,שגע,תגע
81, touch, touched, touch, moment, arrived, and touch, crazy, a moment, touched, tired, now, touch, contact,lesion, frenzy, touched, affliction, a shame, hit, moment, madness, touch
82,אגף,בגף,גגף,דגף,הגף,וגף,זגף,חגף,טגף,יגף,כגף,לגף,מגף,נגף,סגף,עגף,פגף,צגף,קגף,רגף,שגף,תגף
82, wing, in the limb, Gaff, fished, the limb, and a limb, squat, feasted, Tagged, will sneeze, as a limb, to the branch, boot, stumbling block, an ascetic, wing, a bastard, watch, KGF, Regf, Shagaf, hit
83,אגץ,בגץ,גגץ,דגץ,הגץ,וגץ,זגץ,חגץ,טגץ,יגץ,כגץ,לגץ,מגץ,נגץ,סגץ,עגץ,פגץ,צגץ,קגץ,רגץ,שגץ,תגץ
83, a branch, in Getz, roofer, Dagetz, the jet, and getz, Zagetz, Christmas, Tegtz, will spring, like a jet, to iron, Magetz, a snag, Sagetz, sneer, a shell, peephole, KAGTZ, got excited, Shagtz, you'll be exhausted
84,אגק,בגק,גגק,דגק,הגק,וגק,זגק,חגק,טגק,יגק,כגק,לגק,מגק,נגק,סגק,עגק,פגק,צגק,קגק,רגק,שגק,תגק
84, Agek, in college, giggle, Dek, the gecko, And Gek, Zagek, circled, Tegk, Yagak, as a, Lag, Magc, Nek, Sagek, snorted, cap, watched, Kgk, Regak, check, Tag
85,אגר,בגר,גגר,דגר,הגר,וגר,זגר,חגר,טגר,יגר,כגר,לגר,מגר,נגר,סגר,עגר,פגר,צגר,קגר,רגר,שגר,תגר
85, Agar, mature, Gagar, Dagger,Hagar, and lived, Zager, a belt, Tager, Jaeger, as a resident, to live, itchy, Carpenter, Clasp, Egar, carcass, Zegar, Keger, Reger, routine, trader
86,אגש,בגש,גגש,דגש,הגש,וגש,זגש,חגש,טגש,יגש,כגש,לגש,מגש,נגש,סגש,עגש,פגש,צגש,קגש,רגש,שגש,תגש
86, I will pass, Begash, bumped, emphasis, submit, and come, move on, celebrated, collision, will approach, as a, larch, tray, access, Sage, Agg, met, a traffic, a tray, emotion, accessed, serve
87,אגת,בגת,גגת,דגת,הגת,וגת,זגת,חגת,טגת,יגת,כגת,לגת,מגת,נגת,סגת,עגת,פגת,צגת,קגת,רגת,שגת,תגת
87, agate, in Geth, a roof, you fished, Got it, and Got, Zagat, you celebrated, Tagat, You got, as a wine, to get, Meght, Nagate, retreated, you teased, You're overdue, you showed, Kagat, you killed, You got it wrong, Tag
88,אדא,בדא,גדא,דדא,הדא,ודא,זדא,חדא,טדא,ידא,כדא,לדא,מדא,נדא,סדא,עדא,פדא,צדא,קדא,רדא,שדא,תדא
88, Ada, Bada, Gada, Dada, Hada, Make sure, Zada, Hada, Tada, Yada, Kada, to da, mada, Nada, Sada, Ada, Padda,Sada, Kada, Rada, Shada, Tada
89,אדב,בדב,גדב,דדב,הדב,ודב,זדב,חדב,טדב,ידב,כדב,לדב,מדב,נדב,סדב,עדב,פדב,צדב,קדב,רדב,שדב,תדב
89, courtesy, in dev, Gadv, Dedev, the bear, and Deb, Zedev, sharp, Tedv, Yadav, a bear, to bear, Madev, Nadav, Sadev, Adav, Fedb, lobster, Kadeb, stalk, Shedev, Tadav
90,אדג,בדג,גדג,דדג,הדג,ודג,זדג,חדג,טדג,ידג,כדג,לדג,מדג,נדג,סדג,עדג,פדג,צדג,קדג,רדג,שדג,תדג
90, Edg, in a fish, Gadg, Dagg, the fish, and a fish, Zedg, Hadag, Tedg, will fish, as a fish, to fish, a fish, Nedag, Sedg, Edg, Pedg, Third party, Cadg, step up, a fish, fish
91,אדד,בדד,גדד,דדד,הדד,ודד,זדד,חדד,טדד,ידד,כדד,לדד,מדד,נדד,סדד,עדד,פדד,צדד,קדד,רדד,שדד,תדד
91, Edd, alone, Gadad, Dedd, Hadad, and Dad, Zedd, Hadad, Tadda, friend, Kadad, Ledad, measure, insomnia, Sedad, Adad, Padd, side, Kedd, Reed, robbed, Tadda
92,אדה,בדה,גדה,דדה,הדה,ודה,זדה,חדה,טדה,ידה,כדה,לדה,מדה,נדה,סדה,עדה,פדה,צדה,קדה,רדה,שדה,תדה
92, Eda, Beda, Bank, Dede, Heda, And yes, Zedah, sharp,Teda, Hand, kada, Nativity, footage, Nada, Sada, Witness, cashed out, hunted, bow, got off, field, Theda
93,אדו,בדו,גדו,דדו,הדו,ודו,זדו,חדו,טדו,ידו,כדו,לדו,מדו,נדו,סדו,עדו,פדו,צדו,קדו,רדו,שדו,תדו
93, Edo, in two, Revenge, his grandfather, The duo, And two, Zedo, sharpened, Teddo, his hand, like him, to two, Meadow, Nedo, Sedu, witness, pay off, They hunted, bow down, come down, Shado, give up
94,אדז,בדז,גדז,דדז,הדז,ודז,זדז,חדז,טדז,ידז,כדז,לדז,מדז,נדז,סדז,עדז,פדז,צדז,קדז,רדז,שדז,תדז
94, Adz, Badez, Gadz, Dadz, The dez, And Dez, Zadz, sharp, Tedz, Yadz, as a, Ledez, Medz, Nedz, Sadz, Adz, Pedez, Szdz, Cadiz, Redz, Shadz, Thadz
95,אדח,בדח,גדח,דדח,הדח,ודח,זדח,חדח,טדח,ידח,כדח,לדח,מדח,נדח,סדח,עדח,פדח,צדח,קדח,רדח,שדח,תדח
95, I will push, playful, thirsty, Rejected, rejected, and rejected, zadh, sharp, milled, will reject, as a pushover, reject, a thermometer, led astray, Sedah, Adah, roared, succeeded, bore, Reed, rejected,reject
96,אדט,בדט,גדט,דדט,הדט,ודט,זדט,חדט,טדט,ידט,כדט,לדט,מדט,נדט,סדט,עדט,פדט,צדט,קדט,רדט,שדט,תדט
96, Edt, in det, Gadt, Deadt, the det, and det, Zedt, sharp, Tedt, Yadt, Cdt, to det, Medt, Nadt, Sadat, Edt, Pedt, a hunter, cadet, Radt, Shadt, meditate
97,אדי,בדי,גדי,דדי,הדי,ודי,זדי,חדי,טדי,ידי,כדי,לדי,מדי,נדי,סדי,עדי,פדי,צדי,קדי,רדי,שדי,תדי
97, Eddie, enough, kid, Daddy, The Hedi, And enough, Zadi, sharp, Teddy, my hand, In order to, enough, every, Neddy, Sadie, jewel, Paddy, side, Caddy, reddy, my breasts, Teddy
98,אדך,בדך,גדך,דדך,הדך,ודך,זדך,חדך,טדך,ידך,כדך,לדך,מדך,נדך,סדך,עדך,פדך,צדך,קדך,רדך,שדך,תדך
98, step, in your, Gadach, Dadach, the water, and so on, yours, sharp, Tedach, your hand, like that, go away, from you, we'll go, Shack, a witness, pay off, your right, kdach, went down, your breast, step
99,אדל,בדל,גדל,דדל,הדל,ודל,זדל,חדל,טדל,ידל,כדל,לדל,מדל,נדל,סדל,עדל,פדל,צדל,קדל,רדל,שדל,תדל
99, Adele, stub, grows up, Dedel, the scarce, and little, Zadel, ceased, Tadala, Yadel, little, to scarce,Medel, real, a bucket, Up to, pedal, sided, Kadel, Redel, coaxed, Tadala
100,אדם,בדם,גדם,דדם,הדם,ודם,זדם,חדם,טדם,ידם,כדם,לדם,מדם,נדם,סדם,עדם,פדם,צדם,קדם,רדם,שדם,תדם
100, A person, in the blood, stump, dead, the blood, and blood, Zdam, sharp, Tedam, their hand, as blood, to blood, from blood, we fell asleep, Sedum, Adam, Padme, They hunted, pre, fall asleep, blood, blood
101,אדן,בדן,גדן,דדן,הדן,ודן,זדן,חדן,טדן,ידן,כדן,לדן,מדן,נדן,סדן,עדן,פדן,צדן,קדן,רדן,שדן,תדן
101, sill, in Dan, Gaden, Dadan, Hadan, and Dan, Zaden, keen, Tedan, a hand, as Dan, to discuss, from Dan, sheath, anvil, Eden, Padan, side, Kaden, Radan, Shadan, will discuss
102,אדס,בדס,גדס,דדס,הדס,ודס,זדס,חדס,טדס,ידס,כדס,לדס,מדס,נדס,סדס,עדס,פדס,צדס,קדס,רדס,שדס,תדס
102, Ades, Badass, Geddes, Deds, Hadas, And Des, Zeds, Hadas, Teds, Yeds, Kadas, Ledas, Mads, Neds, Sadas, lentil, Feds, a party, Keds, Reds, Shads, Thedas
103,אדע,בדע,גדע,דדע,הדע,ודע,זדע,חדע,טדע,ידע,כדע,לדע,מדע,נדע,סדע,עדע,פדע,צדע,קדע,רדע,שדע,תדע
103, i will know, in the knowledge, Gade,Dede, the knowledge, and know, Zade, clever, know, knowledge, like this, to know, science, we will know, sade, Ada, Pada, Side, Kade, Rada, he knew, you will know
104,אדף,בדף,גדף,דדף,הדף,ודף,זדף,חדף,טדף,ידף,כדף,לדף,מדף,נדף,סדף,עדף,פדף,צדף,קדף,רדף,שדף,תדף
104, Adaf, on the page, blasphemy, paged, blast, and a page, zadef, shrew, Taf, Yadaf, as a page, per page, shelf, evaporate, Sedaf, prefer, Pdf, shell, Kadaf, chased, flip through, page
105,אדץ,בדץ,גדץ,דדץ,הדץ,ודץ,זדץ,חדץ,טדץ,ידץ,כדץ,לדץ,מדץ,נדץ,סדץ,עדץ,פדץ,צדץ,קדץ,רדץ,שדץ,תדץ
105, Adetz, Badetz, Gadetz, Dadz, the heat, and Dats, Zadetz, Hadz, Tadtz, Yadz, like, Ledetz, Medetz, Nadz, Sedetz, Adetz, Fedz, satz, Katz, ran down, Shadtz, will be compressed
106,אדק,בדק,גדק,דדק,הדק,ודק,זדק,חדק,טדק,ידק,כדק,לדק,מדק,נדק,סדק,עדק,פדק,צדק,קדק,רדק,שדק,תדק
106, dropper, checked, Gadek, checked, trigger, and thin, got old, proboscis, Tadak, Yadak, as thin, to thin, clamp, will crack, crack, Adak,Padak, Jupiter, Kadak, Radek, Shack, tighten
107,אדר,בדר,גדר,דדר,הדר,ודר,זדר,חדר,טדר,ידר,כדר,לדר,מדר,נדר,סדר,עדר,פדר,צדר,קדר,רדר,שדר,תדר
107, Adar, an entertainer, fence, Dadar, Hadar, and Dr, Zadar, a room, bother, Yedar, a cup, Leder, a divider, vow, order, herd, Feder, Cheddar, potter, radar, message, frequency
108,אדש,בדש,גדש,דדש,הדש,ודש,זדש,חדש,טדש,ידש,כדש,לדש,מדש,נדש,סדש,עדש,פדש,צדש,קדש,רדש,שדש,תדש
108, Adesh, in the lapel, crowded, stomped, the flap, and a flap, zdash, New, dirty, a hand, Kash, to the flap, Mudsh, we will, Sadesh, Until, Padesh, 3rd party, holy, Radesh, Shadash, flip
109,אדת,בדת,גדת,דדת,הדת,ודת,זדת,חדת,טדת,ידת,כדת,לדת,מדת,נדת,סדת,עדת,פדת,צדת,קדת,רדת,שדת,תדת
109, Adath, in religion, Gedt, you died, the religion, and religion, Zadet, sharp, Ted, you know, as a religion, to religion, from a religion, You moved, braces, denomination, paid off, you hunted, you bowed, you went down, you have a religion, you will believe
110,אהא,בהא,גהא,דהא,ההא,והא,זהא,חהא,טהא,יהא,כהא,להא,מהא,נהא,סהא,עהא,פהא,צהא,קהא,רהא,שהא,תהא
110, Aha, Baha, Gaha, Daha, Haha, And the, It's a,Haha, Taha, will be, like this, to ha, what, Neha, Saha, Aha, Here, Tsha, Kaha, Reha, that he, be
111,אהב,בהב,גהב,דהב,ההב,והב,זהב,חהב,טהב,יהב,כהב,להב,מהב,נהב,סהב,עהב,פהב,צהב,קהב,רהב,שהב,תהב
111, loved, Bhabh, Gahav, Dahab, Heb, and the, gold, Debt, Thab, Yahav, as a blade, blade, Mahab, Nahav, Sahab, Ehav, Fahv, yellow, Kahab, arrogance, that the, Tehab
112,אהג,בהג,גהג,דהג,ההג,והג,זהג,חהג,טהג,יהג,כהג,להג,מהג,נהג,סהג,עהג,פהג,צהג,קהג,רהג,שהג,תהג
112, Ahg, Bahg, gawking, Dahag, The helm, and c, Zag, Hag, Tahg, Yehg, as a, dialect, from the, Driver, Sehag, Aeg, Fahg, Tshag, Kahg, Rehg, that, tag
113,אהד,בהד,גהד,דהד,ההד,והד,זהד,חהד,טהד,יהד,כהד,להד,מהד,נהד,סהד,עהד,פהד,צהד,קהד,רהד,שהד,תהד
113, sympathizer, in echo, Gahad, echoed, the echo, And echo, the same, sharp, thud, Yehud, as an echo, echo, Resonator, Nod, Sahed, Ahad, Fahad, Tzad, Kahad, Rahad,echoed, resonance
114,אהה,בהה,גהה,דהה,ההה,והה,זהה,חהה,טהה,יהה,כהה,להה,מהה,נהה,סהה,עהה,פהה,צהה,קהה,רהה,שהה,תהה
114, Aha, stared, Gaha, faded, heh, And hey, same, Haha, confused, will be, dark, Leah, What is the, enjoy, Saha, uhh, here, recognized, blunt, Rahe, stayed, wondered
115,אהו,בהו,גהו,דהו,ההו,והו,זהו,חהו,טהו,יהו,כהו,להו,מהו,נהו,סהו,עהו,פהו,צהו,קהו,רהו,שהו,תהו
115, Oh, looked at, Gho, Faded, oh oh, And oh, This, hahaha, that's wrong, Yeh, so, to him, what is, Naho, Shou, aho, here, Tsho, khu, Rahu, stay, wonder
116,אהז,בהז,גהז,דהז,ההז,והז,זהז,חהז,טהז,יהז,כהז,להז,מהז,נהז,סהז,עהז,פהז,צהז,קהז,רהז,שהז,תהז
116, ahh, Behz, gas, That's it, Hez, And this, same, Haz, Tahz, Yahez, like this, to hear, what is this, Nahz, Sahaz, goat, Fahz, Tzaz, Kahz, Rahz, That's it, dance
117,אהח,בהח,גהח,דהח,ההח,והח,זהח,חהח,טהח,יהח,כהח,להח,מהח,נהח,סהח,עהח,פהח,צהח,קהח,רהח,שהח,תהח
117, Ahhh, in the, gaah, gasped, the fire, and h, Zahah, Haha, grind, Yeh, as,to sleep, Meh, Sigh, Sahah, ahhh, Phew, He laughed, Kahah, Rahah, that he, be excited
118,אהט,בהט,גהט,דהט,ההט,והט,זהט,חהט,טהט,יהט,כהט,להט,מהט,נהט,סהט,עהט,פהט,צהט,קהט,רהט,שהט,תהט
118, Aht, alabaster, Ghat, Dehat, Het, and the, the same, needle, Taht, yacht, as a, glow, what T, Naht, Sehat, ink, Faht, Tzat, Stupid, trough, shaht, Tehat
119,אהי,בהי,גהי,דהי,ההי,והי,זהי,חהי,טהי,יהי,כהי,להי,מהי,נהי,סהי,עהי,פהי,צהי,קהי,רהי,שהי,תהי
119, oh, Behi, ghee, Dehi, Hi, And hi, It, Hi, Tahi, let it be, dark, Hi, what is, wailing, Sahi, oh, my mouth, Tchai, Kahi, Rehi, which is, be
120,אהך,בהך,גהך,דהך,ההך,והך,זהך,חהך,טהך,יהך,כהך,להך,מהך,נהך,סהך,עהך,פהך,צהך,קהך,רהך,שהך,תהך
120, oh, in you, squint, Faded, That's it, and so on, That's it, Hak, Tach, will, like this, to you, from you, behaved, Sahach, yelp, Here you are, chuckle, numb, soft, that you, melted
121,אהל,בהל,גהל,דהל,ההל,והל,זהל,חהל,טהל,יהל,כהל,להל,מהל,נהל,סהל,עהל,פהל,צהל,קהל,רהל,שהל,תהל
121, tent, Bewildered, wave, Dahl, the cardamom, And here, it's for, Hal, Thal, Yahal, a crowd, to hell, thinner, manager, Sahel, Ehal, Fehl, a troop, crowd, Rachel, Shahl, Psalm
122,אהם,בהם,גהם,דהם,ההם,והם,זהם,חהם,טהם,יהם,כהם,להם,מהם,נהם,סהם,עהם,פהם,צהם,קהם,רהם,שהם,תהם
122, Ahem, in them, gham, Dham, those, and they are, they are, hot, Tham, they, Kham, to them, from them, roar, Sam, ahem, Here they are, Tsham, kham, Rahm, that they, wonder
123,אהן,בהן,גהן,דהן,ההן,והן,זהן,חהן,טהן,יהן,כהן,להן,מהן,נהן,סהן,עהן,פהן,צהן,קהן,רהן,שהן,תהן
123, Ahn, in them, Gahan, dahan, those, And they are, these are, Khan, Tahan, Yehn, Cohen, them, of them, Nod, Sahn, Ahn, here, Chahan, Kahn, Rahn, which they are, have fun
124,אהס,בהס,גהס,דהס,ההס,והס,זהס,חהס,טהס,יהס,כהס,להס,מהס,נהס,סהס,עהס,פהס,צהס,קהס,רהס,שהס,תהס
124, Ahhh, Behs, Hess, ran over, Hess, and the, That's it, Khas, Tahs, Yahs, as, to the, from Hs, destroyed, Sahs,Ehs, Fahs, IDF, Kahs, Rehs, Shahs, Tahs
125,אהע,בהע,גהע,דהע,ההע,והע,זהע,חהע,טהע,יהע,כהע,להע,מהע,נהע,סהע,עהע,פהע,צהע,קהע,רהע,שהע,תהע
125, Aha, Bah, Gah, see, The, And the, the same, Haha, The, Yes, as, to the, from the, move, Sae, aha, Fah, walk, Kae, the evil, that he, wonder
126,אהף,בהף,גהף,דהף,ההף,והף,זהף,חהף,טהף,יהף,כהף,להף,מהף,נהף,סהף,עהף,פהף,צהף,קהף,רהף,שהף,תהף
126, ahh, Bahf, Gehf, dashed off, Hef, and hf, gold, a beach, Tahf, Yehf, as if, to wave, from a wave, heaved, Sahaf, flew away, Phew, Tsaf, Kahf, Rahf, Shehf, beat
127,אהץ,בהץ,גהץ,דהץ,ההץ,והץ,זהץ,חהץ,טהץ,יהץ,כהץ,להץ,מהץ,נהץ,סהץ,עהץ,פהץ,צהץ,קהץ,רהץ,שהץ,תהץ
127, Ahtz, Bahtz, presser, Dehatz, the heat, and hit, That's it, push, Tahtz, Yehtz, Kahtz, Lahtz, Mehtz, Nehatz, Sahtz, Ehtz, Fahtz, popped up, Kahtz, Rahetz, Shacht, Tahtz
128,אהק,בהק,גהק,דהק,ההק,והק,זהק,חהק,טהק,יהק,כהק,להק,מהק,נהק,סהק,עהק,פהק,צהק,קהק,רהק,שהק,תהק
128, ahk, Bhak, belched, Dehak, Heck, and the,Zehak, law, thak, yawn, as heck, formation, What K, Hake, Sahak, yelped, yawn, laughed, giggled, far away, that he, Thek
129,אהר,בהר,גהר,דהר,ההר,והר,זהר,חהר,טהר,יהר,כהר,להר,מהר,נהר,סהר,עהר,פהר,צהר,קהר,רהר,שהר,תהר
129, Ehr, in the mountain, Gehr, galloped, the mountain, and Mt, Zohar, Hehar, pure, rush, a mountain, to the mountain, Faster, river, Crescent moon, woke up, Fehr, noon, Kahr, mused, that mountain, speed up
130,אהש,בהש,גהש,דהש,ההש,והש,זהש,חהש,טהש,יהש,כהש,להש,מהש,נהש,סהש,עהש,פהש,צהש,קהש,רהש,שהש,תהש
130, Ahhh, Bhish, Gosh, dashed, The, and the, that, Hash, Tash, Yahsh, As God, hsh, What that, Nhash, Sahsh, Esh, Fahsh, squealed, Kahsh, Rehash, that the, wonder
131,אהת,בהת,גהת,דהת,ההת,והת,זהת,חהת,טהת,יהת,כהת,להת,מהת,נהת,סהת,עהת,פהת,צהת,קהת,רהת,שהת,תהת
131, you, you have, Goth, religion, the, and the, same, Hat, Thath, be, dark, die, Mehta, enjoy, Sehat, time, here, Tzat, numb,Rath, that, you wondered
132,אוא,בוא,גוא,דוא,הוא,ווא,זוא,חוא,טוא,יוא,כוא,לוא,מוא,נוא,סוא,עוא,פוא,צוא,קוא,רוא,שוא,תוא
132, oh, Come on, soar, email, he, Wow, Zoe, Hua, toa, Yea, That's right, Lou, Mua, Noah, Sue, Oh, Phew, excrement, Kua, sees, vain, Tua
133,אוב,בוב,גוב,דוב,הוב,ווב,זוב,חוב,טוב,יוב,כוב,לוב,מוב,נוב,סוב,עוב,פוב,צוב,קוב,רוב,שוב,תוב
133, Ob, Bob, den, bear, Hub, Web, discharge, debt, Good, Yuv, thorn, Libya, Mob, Nov, sub, thick, Pov, ok, Cub, majority, again, Tov
134,אוג,בוג,גוג,דוג,הוג,ווג,זוג,חוג,טוג,יוג,כוג,לוג,מוג,נוג,סוג,עוג,פוג,צוג,קוג,רוג,שוג,תוג
134, Og, Bug, Gog, fishing, a thinker, Vogue, Pair, circle, Tug, Yoga, Cog, Log, Mog, nog, Type, cake, Fogg, a glass, Cog, Rog, a mistake, Tag
135,אוד,בוד,גוד,דוד,הוד,ווד,זוד,חוד,טוד,יוד,כוד,לוד,מוד,נוד,סוד,עוד,פוד,צוד,קוד,רוד,שוד,תוד
135, ember, Bod, Good, Uncle, glory, Wood, Zod, point, Todd, iodine,Code, Lod, Mod, nomadic, secret, More, Pod, hunting, code, Rod, robbery, thank you
136,אוה,בוה,גוה,דוה,הוה,ווה,זוה,חוה,טוה,יוה,כוה,לוה,מוה,נוה,סוה,עוה,פוה,צוה,קוה,רוה,שוה,תוה
136, Oh, boo, corpse, Duh, passion, Wow, Zoe, farm, straight, Yoh, loophole, Lua, moh, Noah, a mare, Oh, Pooh, order, a line, Rowe, par, Toh
137,אוו,בוו,גוו,דוו,הוו,ווו,זוו,חוו,טוו,יוו,כוו,לוו,מוו,נוו,סוו,עוו,פוו,צוו,קוו,רוו,שוו,תוו
137, Aww, Bow, A corpse, Dev, The hook, Wow, Zoe, experienced, tw, Yoo, Chow, Lew, Moo, Naw, Sv, Aw, Phew, order, Que, Rev, Equal, note
138,אוז,בוז,גוז,דוז,הוז,ווז,זוז,חוז,טוז,יוז,כוז,לוז,מוז,נוז,סוז,עוז,פוז,צוז,קוז,רוז,שוז,תוז
138, Oz, contempt, Guz, Doz, Hoz, Woz, move, contract, an ace, Hughes, cuz, hazel, moose, Noz, Suz, courage, Pos, move on, coz, Rose, Shuz, fruit
139,אוח,בוח,גוח,דוח,הוח,ווח,זוח,חוח,טוח,יוח,כוח,לוח,מוח,נוח,סוח,עוח,פוח,צוח,קוח,רוח,שוח,תוח
139, Ugh,Boh, Goh, Report, Hoh, Wah, shines, thistle, sure, John, Force, Board, brain, comfortable, shop, Ouch, Puff, shout, CV, Breeze, swimming, stretch
140,אוט,בוט,גוט,דוט,הוט,ווט,זוט,חוט,טוט,יוט,כוט,לוט,מוט,נוט,סוט,עוט,פוט,צוט,קוט,רוט,שוט,תוט
140, Ot, bot, Gut, Dot, Hot, Watt, a trifle, wire, Tut, Yot, Kut, veil, rod, navigator, a pervert, a pen, Pot, Tzot, Kot, Roth, whip, Tut
141,אוי,בוי,גוי,דוי,הוי,ווי,זוי,חוי,טוי,יוי,כוי,לוי,מוי,נוי,סוי,עוי,פוי,צוי,קוי,רוי,שוי,תוי
141, oh, Boy, gentile, Doi, Hey, Wee, Zoey, Hui, Toy, Yui, burned, Levi, Moi, decoration, Sui, Oi, Foy, an order, lined, Roy, Shui, Tui
142,אוך,בוך,גוך,דוך,הוך,ווך,זוך,חוך,טוך,יוך,כוך,לוך,מוך,נוך,סוך,עוך,פוך,צוך,קוך,רוך,שוך,תוך
142, Ouch, book, Gooch, duch, Hoch, Wuch, winner, hoop, Toch, Yuch, niche, Loch, lint, nooch,Sukh, Ouch, antimony, Tzuch, Koch, tenderness, shoch, within
143,אול,בול,גול,דול,הול,וול,זול,חול,טול,יול,כול,לול,מול,נול,סול,עול,פול,צול,קול,רול,שול,תול
143, Ol, stamp, Gol, Dollar, Hall, Wall, cheap, Sand, tulle, Yul, All, hen house, Against, loom, G, burden, broad bean, Tsol, Voice, roll, Shul, Thule
144,אום,בום,גום,דום,הום,וום,זום,חום,טום,יום,כום,לום,מום,נום,סום,עום,פום,צום,קום,רום,שום,תום
144, Um, boom, Gum, dom, Hum, Wham, Zoom, Heat, Tom, a day, how much, Lum, defect, sleep, Some, A nation, Pom, fast, get up, rum, garlic, Tom
145,און,בון,גון,דון,הון,וון,זון,חון,טון,יון,כון,לון,מון,נון,סון,עון,פון,צון,קון,רון,שון,תון
145, potency, Boone, color, don, fortune, won, son, shop, tone, ion, Hon, Lon, Moon, Non, Son, Oon, phone, Tsun, Con, Ron, Shawn, tone
146,אוס,בוס,גוס,דוס,הוס,ווס,זוס,חוס,טוס,יוס,כוס,לוס,מוס,נוס,סוס,עוס,פוס,צוס,קוס,רוס,שוס,תוס
146, Aus, boss, Gus, Doss, Hoss,Wes, Zos, Jose, fly, Yos, glass, los, mousse, Noss, horse, Moss, Fuss, Zus, Kos, Ross, Shus, Thos
147,אוע,בוע,גוע,דוע,הוע,ווע,זוע,חוע,טוע,יוע,כוע,לוע,מוע,נוע,סוע,עוע,פוע,צוע,קוע,רוע,שוע,תוע
147, oh, a bubble, drowning, known, Huh, and, sweat, Hoa, wrong, yo, crouched, mouth, Moa, moving, Sue, bean, poo, Tzu, Koe, evil, Shua, astray
148,אוף,בוף,גוף,דוף,הוף,ווף,זוף,חוף,טוף,יוף,כוף,לוף,מוף,נוף,סוף,עוף,פוף,צוף,קוף,רוף,שוף,תוף
148, Ugh, Boof, body, Duff, Hoff, Woof, Zuff, Beach, Toph, Yup, a monkey, arum, Muff, View, end, chicken, poof, nectar, monkey, Roof, Shoof, drum
149,אוץ,בוץ,גוץ,דוץ,הוץ,ווץ,זוץ,חוץ,טוץ,יוץ,כוץ,לוץ,מוץ,נוץ,סוץ,עוץ,פוץ,צוץ,קוץ,רוץ,שוץ,תוץ
149, Ugh, mud, short, dotz, hotz, and wats, Zotz, outside, tots, Yotz, Kutz, Lutz, chaff, take advantage, Sutz, Oz, putz, pop up,thorn, run, Schutz, get out
150,אוק,בוק,גוק,דוק,הוק,ווק,זוק,חוק,טוק,יוק,כוק,לוק,מוק,נוק,סוק,עוק,פוק,צוק,קוק,רוק,שוק,תוק
150, Ok, beech, Goku, Doc, Hook, Wok, Zook, Law, Talk, Yuk, Hook, Luke, gaiter, Knock, market, Ok, Poke, cliff, cook, rock, Street market, stick
151,אור,בור,גור,דור,הור,וור,זור,חור,טור,יור,כור,לור,מור,נור,סור,עור,פור,צור,קור,רור,שור,תור
151, light, pit, cub, generation, Hor, Ware, Zor, a hole, column, Jur, reactor, Lor, Mor, flare, Sur, skin, Por, flint, cold, Ror, bull, turn
152,אוש,בוש,גוש,דוש,הוש,ווש,זוש,חוש,טוש,יוש,כוש,לוש,מוש,נוש,סוש,עוש,פוש,צוש,קוש,רוש,שוש,תוש
152, or that, Bush, block, dosh, Hush, Wash, Zosh, sense, marker, Yosh, spindle, Lush, mosh, nosh, Sush, does, Posh, Tshush, Kush, hemlock, licorice, Tosh
153,אות,בות,גות,דות,הות,וות,זות,חות,טות,יות,כות,לות,מות,נות,סות,עות,פות,צות,קות,רות,שות,תות
153, Letter, Booth, Goth, pit, Hot, and, zot, Hut, Tut,Yot, beat, Lot, death, Nut, Soth, time, vulva, crew, Kot, Ruth, co, strawberry
154,אזא,בזא,גזא,דזא,הזא,וזא,זזא,חזא,טזא,יזא,כזא,לזא,מזא,נזא,סזא,עזא,פזא,צזא,קזא,רזא,שזא,תזא
154, Aza, Beza, Gaza, Daza, This one, And that, Zaza, forecaster, Teza, Yaza, like that, Leza, Meza, Neza, Saza, Aza, Paza, Cza, Kaza, Reza, Shaza, Teza
155,אזב,בזב,גזב,דזב,הזב,וזב,זזב,חזב,טזב,יזב,כזב,לזב,מזב,נזב,סזב,עזב,פזב,צזב,קזב,רזב,שזב,תזב
155, Azev, Zev, Robber, Dzb, the fly, and Zev, Zezev, Hezb, Ten, Yazv, falsehood, Lezb, Mezb, Nezev, Szeb, left, Pezv, Tzav, false, gutter, Shezb, Tezv
156,אזג,בזג,גזג,דזג,הזג,וזג,זזג,חזג,טזג,יזג,כזג,לזג,מזג,נזג,סזג,עזג,פזג,צזג,קזג,רזג,שזג,תזג
156, Ezg, Bezag, Gazeg, Dzg, the zeg, and zag, moved, Hezag, Tezag, Yizg, as such, to zag, temper, Nezg, Temperance, Azeg, Pezag, Tzag, Kazag, Rezg, Shazg, pour
157,אזד,בזד,גזד,דזד,הזד,וזד,זזד,חזד,טזד,יזד,כזד,לזד,מזד,נזד,סזד,עזד,פזד,צזד,קזד,רזד,שזד,תזד
157,Azad, in vain, a scab, Dzd, the zad, And Zed, moved, Hazed, tzd, Yazd, as such, to Zed, suddenly, revenge, Sazad, Azad, lost, Tzad, Kazed, Razed, Shazad, tzad
