,English,Hebrew
3424,['serin (bird)'],בזבוז
3425,"['to squander', 'to waste money', 'to waste']",בזבז
3426,"['to be wasted', 'to be frittered away']",בזבז
3427,"['squanderer', 'lavish spender']",בזבזן
3428,"['squandering', 'wasting money']",בזבזנות
3429,"['squandering', 'wasteful']",בזבזני
3430,"['to humiliate', 'to chasten', 'to put down']",בזה
3431,"['to be despised', 'to be subject to contempt']",בזה
3432,"['plundering', 'looting', 'ransacking']",בזה
3433,"['plundered', 'looted', 'robbed']",בזוז
3434,"['despised', 'worthy of contempt']",בזוי
3435,"['humiliation', 'mortification', 'debasement']",בזוי
3436,"['(colloquial) cheaply', 'at a good price', 'on sale']",בזול
3437,['sprinkled'],בזוק
3438,['bazooka'],בזוקה
3439,['decentralization'],בזור
3440,['(rare) abjection'],בזות
3441,"['to loot', 'to plunder']",בזז
3442,"['shame', 'humiliation', 'disgrace']",בזיון
3443,['contempt of court'],בזיון בית המשפט
3444,"['embarrassing', 'contemptible', 'despicable']",בזיוני
3445,"['looting', 'plundering']",בזיזה
3446,"['(Talmudic) vessel', 'cornet']",בזיך
3447,['basilica'],בזיליקה
3448,['basil'],בזיליקום
3449,['sprinkling'],בזיקה
3450,['falconer'],בזיר
3451,['falconry'],בזירות
3452,"['thanks to ...', 'in favor of']",בזכות
3453,['Basle'],בזל
3454,['basalt'],בזלת
3455,['basaltic'],בזלתי
3456,['(formal) telecommunications'],בזק
3457,"['lightning', '(military) flash message']",בזק
3458,['to sprinkle'],בזק
3459,"['to decentralize', 'to disperse']",בזר
3460,"['within it', 'intrinsically', 'as part of it']",בחב
3461,"['(archaic) tested', 'proven', 'accurate']",בחון
3462,"['probe', 'tester']",בחון
3463,"['outside', 'externally', 'on the outside']",בחוץ
3464,"['young man', 'youth', '(colloquial) male partner']",בחור
3465,"['(biblical) choice', 'top quality', 'best', 'chosen']",בחור
3466,"['young lady', 'lass', 'maiden']",בחורה
3467,"['young lad', 'stripling']",בחורון
3468,['young lass'],בחורנת
3469,"['stirred', 'mixed']",בחוש
3470,"['strongly', 'forcefully', 'determinedly', 'vigorously', 'convincingly']",בחזקה
3471,"['taken to be', 'assumed to be', 'in the state of']",בחזקת
3472,"['on the way back', 'back to...', 'again', 'another time', '(colloquial) in return', 'back']",בחזרה
3473,"['hastily', 'in a hurry', 'momentarily']",בחטף
3474,"['positively', 'in a positive light']",בחיוב
3475,['nausea'],בחילה
3476,"['point of view', 'aspect', 'מבחינתו - as far as he is concerned', 'from his point view']",בחינה
3477,"['examination', 'inquiry', 'investigation']",בחינה
3478,"['(scholarly) as', 'in terms of', 'in the sense of']",בחינת
3479,"['select', 'chosen', 'elite']",בחיר
3480,"['choice', 'election', 'בחירות - elections']",בחירה
3481,['elections'],בחירות
3482,"['stirring', '(slang) interference', 'meddling', 'intervention']",בחישה
3483,"['to despise', 'to loathe']",בחל
3484,"['to examine', 'to test', 'to investigate', 'to test']",בחן
3485,"['test (noun)', 'criterion']",בחן
3486,['(rare) watch tower'],בחן
3487,"['hastily', 'hurriedly']",בחפזה
3488,"['freely', 'unhindered']",בחפשיות
3489,"['to choose', 'to select', 'to pick', 'to prefer', 'to appoint']",בחר
3490,['adolescence'],בחרות
3491,['Bahrain'],בחרין
3492,['Bahraini (person)'],בחריני
3493,['Bahraini'],בחריני
3494,"['to stir', 'to mix', '(slang) to interfere', 'to meddle', 'to intervene']",בחש
3495,"[""to meddle in other's affairs""]",בחש בקדרה (של אחר)
3496,"['secretly', 'stealthily']",בחשאי
3497,['wooden spoon for stirring food'],בחשה
3498,"['interferer', 'meddler', 'stirrer']",בחשן
3499,"['to pronounce', 'to articulate', 'to utter', 'to express']",בטא
3500,['Beta (second letter of Greek alphabet)'],בטא
3501,"['to be expressed', 'to be stated']",בטא
3502,"['journal', 'mouthpiece', 'organ']",בטאון
3503,"['certain', 'definite', 'safe', 'secure', 'for sure']",בטוח
3504,['insurance'],בטוח
3505,['life insurance'],בטוח חיים
3506,"['collateral', 'security (for a loan)']",בטוחה
3507,"['(literary) confidently', 'unhesitatingly']",בטוחות
3508,['related to insurance'],בטוחי
3509,"['expression', 'saying', 'phrase', 'idiom']",בטוי
3510,"['cancellation', 'abolition', 'annulment', 'בביטול - scornfully', 'derisively']",בטול
3511,['concrete (noun)'],בטון
3512,['concreting'],בטון
3513,['reinforced concrete'],בטון מזין
3514,"['(colloquial) concrete barricade', 'concrete block']",בטונדה
3515,"['(colloquial) for sure', 'definitely', 'it has to be', '(colloquial) sure', 'of course', 'naturally', 'it goes without saying', '(colloquial) for sure (sarcastic)', 'when pigs fly', '(colloquial) no way! fat chance!', 'לבטח - for sure', 'definitely', 'it has to be']",בטח
3516,"['to rely on', 'to depend on', 'to have faith in']",בטח
3517,"['(biblical) peacefully', 'securely', 'tranquilly']",בטח
3518,['to insure'],בטח
3519,['to be insured'],בטח
3520,"['security', 'tranquillity', 'peace', '', 'certainty']",בטחה
3521,"['confidence', 'faith', 'certainty', 'safety', 'security', 'בטחונות - collateral', 'security (for a loan)']",בטחון
3522,['self confidence'],בטחון עצמי
3523,['security'],בטחוני
3524,"['sweet potato', 'batata']",בטטה
3525,['Betty (name)'],בטי
3526,"['(Arabic) (slang) nothing', 'sweet Fanny Adams (SFA)']",בטיח
3527,['safety'],בטיחות
3528,['safety'],בטיחותי
3529,['batiste'],בטיסט
3530,['batik'],בטיק
3531,"['(literary) kicking', 'trampling']",בטישה
3532,"['to cancel', 'to annul', 'to abolish', 'to neutralize', 'to abrogate']",בטל
3533,"['to be cancelled', 'to be nullified']",בטל
3534,"['worthless', 'valueless', 'invalid', 'not valid', 'void']",בטל
3535,"['(literary) to cease to exist', 'revoke', 'to lie idle']",בטל
3536,['(literary) unemployed'],בטל
3537,"['idly', 'aimlessly', 'purposelessly']",בטל
3538,"['idleness', 'inactivity', 'inaction', 'לבטלה - in vain', 'for nothing']",בטלה
3539,['(literary) non-validity'],בטלות
3540,['battalion'],בטליון
3541,"['idler', 'good-for-nothing', 'loafer', 'no-hoper', ""ne'er do well""]",בטלן
3542,"['idleness', 'laziness', 'ineffectuality']",בטלנות
3543,"['ineffectual', 'negligent', 'careless']",בטלני
3544,['peanut'],בטן
3545,"['abdomen', 'belly', 'stomach', 'interior', 'bowels']",בטן
3546,['to concrete'],בטן
3547,"['pistachio (tree)', 'peanut']",בטנה
3548,['lining (of clothing)'],בטנה
3549,['double bass'],בטנון
3550,['bellied'],בטנוני
3551,['abdominal'],בטני
3552,"['battery', 'accumulator']",בטריה
3553,"['(literary) prior to', 'before']",בטרם
3554,"['(literary, rare form) to kick', 'to trample']",בטש
3555,['bi-'],בי
3556,"['(colloquial) Bye', 'Be seeing you']",בי
3557,['(slang) bye bye'],בי בי
3558,"['coming', '(euphemism) sexual intercourse', 'coitus', '(literary) entrance hall']",ביאה
3559,['biennial'],ביאנלה
3560,['coming of the Messiah'],ביאת המשיח [הגואל]
3561,"['sewer', 'drain']",ביב
3562,['bebop'],ביבופ
3563,['baby'],ביבי
3564,['baby boom'],ביבי בום
3565,['babysitter'],ביביסיטר
3566,['Bible'],ביבליה
3567,['biblio-'],ביבליו
3568,['bibliographer'],ביבליוגרף
3569,['bibliographical'],ביבליוגרפי
3570,['bibliography'],ביבליוגרפיה
3571,['(psychology) bibliotherapy'],ביבליותרפיה
3572,"['(archaic) zoo', 'menagerie']",ביבר
3573,['beaver'],ביבר
3574,['Big Ben'],ביג בן
3575,['bagel'],ביגל
3576,['beagle'],ביגל
3577,"['bagel', 'pretzel sticks']",ביגלה
3578,['bigamy'],ביגמיה
3579,['bigamist'],ביגמיסט
3580,"['(biblical) by means of', 'through', 'via']",ביד
3581,"['aggressively', '(biblical) courageously', 'fearlessly']",ביד רמה
3582,['bidet'],בידה
3583,"['isolation', 'solitary confinement']",בידוד
3584,"['in the hands of', 'in the care of']",בידי
3585,"['knowing', 'being aware']",בידע
3586,['behaviorism'],ביהביוריזם
3587,['behaviorist'],ביהביוריסט
3588,['behavioristic'],ביהביוריסטי
3589,['bio-'],ביו
3590,['bioinformatics'],ביואינפורמטיקה
3591,['bioactive'],ביואקטיבי
3592,"['sewage', 'sewerage']",ביוב
3593,['biogenetic'],ביוגנטי
3594,['biogenic'],ביוגני
3595,['biographer'],ביוגרף
3596,['biographical'],ביוגרפי
3597,['biography'],ביוגרפיה
3598,"['knowing full well', 'consciously', 'wittingly', 'intentionally', 'on purpose']",ביודעין
3599,['(biology) biota'],ביוטה
3600,['biotope'],ביוטופ
3601,['(ecology) biotic'],ביוטי
3602,['biotechnological'],ביוטכנולוגי
3603,['biotechnology'],ביוטכנולוגיה
3604,['biochemical'],ביוכימי
3605,['biochemistry'],ביוכימיה
3606,"['stamping', 'imprinting']",ביול
3607,['biologist'],ביולוג
3608,['biological'],ביולוגי
3609,['biology'],ביולוגיה
3610,"['staging', 'stage-managing']",ביום
3611,['(ecology) biome'],ביום
3612,['biometric'],ביומטרי
3613,['biometry'],ביומטריה
3614,"['biomimetics', 'biomimicry']",ביומימטיקה
3615,['biomechanics'],ביומכניקה
3616,['biomass'],ביומסה
3617,"['spying', 'intelligence service', '(mathematics) interpolation']",ביון
3618,['(mathematics) interpolation'],ביון
3619,['bionic'],ביוני
3620,['bionic'],ביוני
3621,['bionics'],ביוניקה
3622,['(ecology) biosphere'],ביוספרה
3623,['biofeedback'],ביופידבק
3624,['biophysics'],ביופיזיקה
3625,['biopsy'],ביופסיה
3626,['(biology) ovulation'],ביוץ
3627,['bureaucrat'],ביורוקרט
3628,['bureaucratic'],ביורוקרטי
3629,"['bureaucracy', 'red tape']",ביורוקרטיה
3630,['bureaucracy'],ביורוקרטיות
3631,['biorhythm'],ביוריתמוס
3632,"['causing shame', 'embarrassing', 'humiliating', '(internet) shaming']",ביוש
3633,"['domestication', '(weaponry) homing', 'rooming-in (mother and child in hospital)']",ביות
3634,"['most', 'extremely', 'highly', 'very']",ביותר
3635,"['bison', 'buffalo', '(military, slang) beginner', 'tyro', 'greenhorn']",ביזון
3636,['Byzantine'],ביזנטי
3637,['Byzantium'],ביזנטיון
3638,['Byzantine'],ביזנטיני
3639,['(colloquial) business'],ביזנס
3640,['Byzantium'],ביזנץ
3641,['sexual perversion'],ביזר
3642,['bizarre'],ביזרי
3643,['together'],ביחד
3644,"['especially', 'particularly']",ביחוד
3645,"['concerning', 'with regard to', 'in respect of', 'compared with']",ביחס
3646,['(computing) bit'],ביט
3647,['(computing) byte'],ביט
3648,['bitumen'],ביטומן
3649,"['beatnik', '(colloquial) hippie']",ביטניק
3650,['to affix a stamp'],ביל
3651,"['to be stamped', 'to have a stamp affixed']",ביל
3652,['Bilbao'],בילבאו
3653,"['(zoology) bilharzia', 'schistosome']",בילהרציה
3654,['Belorussia (also: Belarus)'],בילורוסיה
3655,['Belorussian (language)'],בילורוסית
3656,['bilateral'],בילטרלי
3657,['billiards'],ביליארד
3658,['billion'],ביליון
3659,['bilirubin'],בילירובין
3660,"['to produce', 'to orchestrate', 'to stage']",בים
3661,"['to be staged', 'to be produced']",בים
3662,"['director (stage, theater)']",בימאי
3663,"['stage (noun)', 'forum', 'bimah (platform in synagogue for Torah reading)']",בימה
3664,['theatrical'],בימתי
3665,"['between', 'amongst', 'בינינו - between you and me', 'מבין - an expression to indicate one or several of a number of items']",בין
3666,['inter-'],בין
3667,['(mathematics) to interpolate'],בין
3668,['(flowery) at bay'],בין המצרים
3669,"['twilight', 'dusk']",בין השמשות
3670,['interpersonal'],בינאישי
3671,['bingo'],בינגו
3672,"['understanding', 'sense', 'wisdom']",בינה
3673,"['(music) each of the spaces between staff lines', '(anatomy) mediastinum']",בינה
3674,['(computing) artificial intelligence'],בינה [אינטליגנציה
3675,['binomial (noun)'],בינום
3676,['binomial'],בינומי
3677,['binomial'],בינומיאלי
3678,"['medium', 'mediocre', '(colloquial) so-so', 'fair', 'middling']",בינוני
3679,['(grammar) participle'],בינוני
3680,"['mediocrity', 'ordinariness']",בינוניות
3681,"['(flowery) among', 'between', 'in the middle of']",בינות
3682,"['intermediate', 'middle']",בינים
3683,['medieval'],בינימי
3684,['barbel (fish)'],בינית
3685,['international'],בינלאמי
3686,['internationality'],בינלאמיות
3687,['inter-city'],בינעירוני
3688,"['(mathematics, computing) binary', 'double', 'composed of two parts']",בינרי
3689,['interdisciplinary'],בינתחומי
3690,"['in the meantime', 'meanwhile', '(colloquial) at present', 'for the moment']",בינתים
3691,"['(colloquial) bite of something', 'taste']",ביס
3692,['baseball'],ביסבול
3693,['bistro'],ביסטרו
3694,['(computing) BASIC (Beginners All-purpose Symbolic Instruction Code)'],ביסיק
3695,['bismuth'],ביסמות
3696,"['cookie', 'biscuit']",ביסקויט
3697,['bisexual (noun)'],ביסקסואל
3698,['bisexual'],ביסקסואלי
3699,"['bisexuality', '(biology) hermaphroditism', 'bisexuality']",ביסקסואליות
3700,"['rapidly', 'in the twinkling of an eye']",ביעף
3701,['bifocal'],ביפוקלי
3702,['beefsteak'],ביפסטיק
3703,['beeper'],ביפר
3704,"['to thicken sauce or food by adding egg-white', '(colloquial) to ovulate']",ביץ
3705,"['egg', '(biology) ovum', '(coarse slang) testicle', 'ביצים - (coarse slang) balls (testicles)', 'bravado', 'courage']",ביצה
3706,['Betsah (Talmudic tractate)'],ביצה
3707,['hard boiled egg'],ביצה קשה
3708,['soft boiled egg'],ביצה רכה
3709,"['egg-shaped', 'ovoid']",ביצי
3710,"['fried egg', 'egg cup']",ביציה
3711,"['(biology) ovum', '(botany) ovule']",ביצית
3712,"['egg-shaped', 'ovoid']",ביצתי
3713,['bikini'],ביקיני
3714,['bicarbonate'],ביקרבונט
3715,['(Talmudic) cistern digger'],ביר
3716,['capital city'],בירה
3717,['beer'],בירה
3718,['Birobidzhan'],בירוביג'ן
3719,['bureaucrat'],בירוקרט
3720,['bureaucratic'],בירוקרטי
3721,['bureaucracy'],בירוקרטיה
3722,['bureaucracy'],בירוקרטיות
3723,['Beirut'],בירות
3724,"['garter', 'suspender']",בירית
3725,"['(biblical) fortress', 'stronghold']",בירנית
3726,"['to shame', 'to humiliate']",ביש
3727,['(Aramaic) bad'],ביש
3728,['to be embarrassed'],ביש
3729,['(Aramaic) bad'],בישא
3730,['sitting as'],בישב
3731,['bishop'],בישוף
3732,['diocese'],בישופות
3733,"['shy', 'reticent', 'coy']",בישן
3734,"['shyness', 'bashfulness']",בישנות
3735,"['reticent', 'shy', 'coy', 'timid']",בישני
3736,['ladyfinger'],בישקוט
3737,['Bishkek (city)'],בישקק
3738,['to domesticate'],בית
3739,"['house', 'home', '(poetry) stanza', 'verse', 'school', 'system', 'dynasty', 'family', '(sport) group', '(computing) byte', 'הבית - Temple', 'הביתה - home', 'homeward', 'מבית - from within', 'internal']",בית
3740,"['Beth (second letter in Hebrew alphabet)', '(military slang) fatigue dress', 'fatigues']",בית
3741,"['to be domesticated', 'to be house-trained']",בית
3742,"['brothel', 'bordello', 'house of ill repute']",בית בשת
3743,['guest house'],בית הארחה
3744,['high court of justice'],בית המשפט הגבוה לצדק
3745,['Supreme Court'],בית המשפט העליון
3746,['hospital'],בית חולים
3747,['field hospital'],בית חולים שדה
3748,['synagogue'],בית כנסת
3749,['Bethlehem'],בית לחם
3750,['hotel'],בית מלון
3751,['(archaic) bookshop'],בית מסחר ספרים
3752,"['pharmacy', 'drugstore']",בית מרקחת
3753,"['court of law', 'court of justice', 'court', 'tribunal']",בית משפט
3754,['magistrates court'],בית משפט השלום
3755,['juvenile court'],בית משפט לנער
3756,"['court of appeals', 'appellate tribunal']",בית משפט לערעורים
3757,['small claims court'],בית משפט לתביעות קטנות
3758,['district court'],בית משפט מחוזי
3759,"['terminal (airport, bus)', '(rare form) railway station']",בית נתיבות
3760,['school'],בית ספר
3761,['external studies school'],בית ספר אקסטרני
3762,"['college', 'university']",בית ספר גבה
3763,['agricultural school'],בית ספר חקלאי
3764,"['elementary school', 'primary school']",בית ספר יסודי [עממי]
3765,['state school'],בית ספר ממלכתי
3766,['unsegregated school'],בית ספר מערב
3767,['comprehensive school'],בית ספר מקיף
3768,['vocational school'],בית ספר מקצועי
3769,"['high school', 'post-primary school']",בית ספר על-יסודי
3770,['night school'],בית ספר ערב
3771,['open school'],בית ספר פתוח
3772,['field school'],בית ספר שדה
3773,"['high school', 'secondary school']",בית ספר תיכון
3774,['pawnshop'],בית עבוט
3775,['(flowery) cemetery'],בית עולם
3776,"['(talmudic) Temple', '(talmudic) cemetery']",בית עולמים
3777,['(archaic) library'],בית עקד ספרים
3778,['container'],בית קבול
3779,"['cemetery', 'graveyard']",בית קברות
3780,['Beth Shemesh (city in Israel)'],בית שמש
3781,"['domestic', 'residential', 'home', 'comfortable', 'homely', 'home-like', 'home-loving', 'home-made']",ביתי
3782,"['domestication', 'house-loving']",ביתיות
3783,"['pavilion', 'stand', 'booth']",ביתן
3784,['(biblical) kind of tree (maybe nettle-tree or mulberry tree)'],בכאים
3785,"['so as to', 'in order to', 'for', '(talmudic) to the extent of']",בכדי
3786,"['(flowery) in vain', 'for nothing']",בכדי
3787,"['to cry', '(colloquial) to complain', 'to whinge', 'to whine']",בכה
3788,"['to mourn for', 'to lament']",בכה
3789,"['forcefully firmly', 'aggressively', 'violently']",בכוח
3790,"['potentially', 'possibly']",בכוח
3791,"['mourning', 'lamentation']",בכוי
3792,"['deliberately', 'on purpose']",בכונה
3793,['firstborn'],בכור
3794,"['preference', 'favoritism']",בכור
3795,['firstborn daughter'],בכורה
3796,"['(biblical) birthright', 'primogeniture', 'precedence']",בכורה
3797,['early ripening fig'],בכורה
3798,['early ripening fig'],בכורה
3799,['early ripening fig'],בכורה
3800,['early ripening fig'],בכורה
3801,['early ripening fig'],בכורה
3802,['early ripening fig'],בכורה
3803,['early ripening fig'],בכורה
3804,['early ripening fig'],בכורה
3805,['early ripening fig'],בכורה
3806,['early ripening fig'],בכורה
3807,"['birthright', 'primogeniture']",בכורות
3808,['Bechoroth (Talmudic tractate)'],בכורות
3809,['first fruits'],בכורים
3810,['Bikkurim (Talmudic tractate)'],בכורים
3811,['(Roman mythology) Bacchus'],בכחוס
3812,['Bacchanalia'],בכחנליה
3813,['crying'],בכי
3814,"['for the better', 'well (adverb)', 'successfully']",בכי טוב
3815,['weeping'],בכיה
3816,"['cry-baby', 'someone easily reduced to tears', '(colloquial) complainer', 'whiner', 'grouch', 'moaner']",בכין
3817,"['weeping', 'crying']",בכיני
3818,['senior'],בכיר
3819,"['senior person', 'elder']",בכיר
3820,"['(Talmudic) early-ripened', '(psychology end education) precocious']",בכיר
3821,['shuttle (used in weaving)'],בכיר
3822,['(psychology end education) precocity'],בכירות
3823,"['in any case', 'either way']",בכל אפן
3824,['all over the world'],בכל העולם כלו
3825,"['nevertheless', 'in spite of it']",בכל זאת
3826,"['completely', 'wholly']",בכל מכל כל
3827,"['(colloquial) anyway', 'in any event', 'one way or the other']",בכל מקרה
3828,"['at all', 'completely', 'in general', 'overall']",בכלל
3829,"['amongst', 'including']",בכלל
3830,['piston'],בכנה
3831,"['to prefer', 'to give preference to', 'to favor']",בכר
3832,['young male camel'],בכר
3833,['young female camel'],בכרה
3834,"['in writing', 'written', 'printed']",בכתב
3835,"['do not ...', ""let's not..."", 'un-', 'in- (denoting negative)']",בל
3836,['without'],בלא
3837,"['(literary) quietly', 'surreptitiously']",בלאט
3838,"['wear and tear', 'physical deterioration']",בלאי
3839,['Balearic (islands)'],בלאריים
3840,"['in the middle of the ocean', 'far out at sea']",בלב ים
3841,"['only', 'solely', 'provided that', 'on condition']",בלבד
3842,"['unique', 'only', 'exclusive', 'sole']",בלבדי
3843,['exclusivity'],בלבדיות
3844,"['confusion', 'mix-up', 'perplexity', 'bewilderment']",בלבול
3845,['bulbul (bird)'],בלבול
3846,"['(slang) scatterbrain', ""(children's slang) penis""]",בלבול
3847,['(literary) potato'],בלבוס
3848,"['to confuse', 'to perplex', 'to confound', 'to throw off balance']",בלבל
3849,['to be confused'],בלבל
3850,['Belgian (person)'],בלגי
3851,['Belgian'],בלגי
3852,['Belgium'],בלגיה
3853,"['(slang) mess', 'disorder', 'confusion', 'בלגנים - (slang) problems', 'difficulties']",בלגן
3854,"['(slang) to make a mess', 'to disarray']",בלגן
3855,"['(slang) to be confused', 'to be in a mess', 'to be disordered']",בלגן
3856,"['(slang) a disorderly', 'disorganized', 'messy person']",בלגניסט
3857,['Belgrade'],בלגרד
3858,['ballad'],בלדה
3859,['Bloody Mary'],בלדי מרי
3860,"['courier', 'messenger']",בלדר
3861,"['to have a good time', 'to enjoy life', 'to spend time']",בלה
3862,"['(literary) to wear out', 'to use up']",בלה
3863,"['to wear out', 'to decay', 'to wither', '(literary) to grow old', 'to age']",בלה
3864,"['(literary) worn out', 'old']",בלה
3865,['Bella (Hebrew name)'],בלה
3866,['bale'],בלה
3867,"['(flowery) terror', 'horror']",בלהה
3868,['Bilha (Hebrew name)'],בלהה
3869,['excise'],בלו
3870,"['(literary) rags', 'old', 'worn out clothing']",בלואים
3871,"['(internet, slang) blog']",בלוג
3872,['blogosphere'],בלוגוספרה
3873,"['(internet, slang) blogger']",בלוגר
3874,['blues'],בלוז
3875,['(fashion) blouson'],בלוזון
3876,['acorn'],בלוט
3877,['gland'],בלוטה
3878,['pineal gland'],בלוטת האצטרבל
3879,"['spending time', 'passing the time', 'pastime', 'recreation']",בלוי
3880,"['worn out', 'torn', 'old']",בלוי
3881,"['together with', 'in the company of', 'accompanied by']",בלוית
3882,['mixed'],בלול
3883,"['sealed', 'closed', 'stopped', 'arrested', 'full to the brim', 'packed', 'stuffed full']",בלום
3884,['braking'],בלום
3885,['Bluma (Hebrew name)'],בלומה
3886,['Bloemfontein'],בלומפונטין
3887,"['balloon', '(medicine) balloon catheter']",בלון
3888,['(slang) blond'],בלונד
3889,['blond (person)'],בלונדיני
3890,['blond'],בלונדיני
3891,['blondness'],בלונדיניות
3892,"['swallowed', 'swallowed up', 'absorbed', 'devoured']",בלוע
3893,['(colloquial) bluff (noun)'],בלוף
3894,"['(slang) deception', 'faking', '(coarse slang) bullshit']",בלוף
3895,"['building block', 'cinder block', 'block (ice, wood)']",בלוק
3896,['forelock'],בלורית
3897,"['sleuthing', 'detection', 'investigation']",בלוש
3898,['menopause'],בלות
3899,['balsa'],בלזה
3900,"['to protrude', 'to stick up', 'to stick out', 'to stand out', 'to be prominent', 'to obtrude']",בלט
3901,['ballet'],בלט
3902,['(topography) prominence'],בלט
3903,"['(colloquial) tile (noun)', '(slang) idiot', 'fool', 'balata']",בלטה
3904,['Baltic'],בלטי
3905,['belletristic'],בלטריסטי
3906,['(literature) belles-lettres'],בלטריסטיקה
3907,"['without', 'in the absence of', 'no']",בלי
3908,['weathering'],בליה
3909,['erosion'],בליה
3910,['Belize'],בליז
3911,['blazer'],בליזר
3912,"['protrusion', 'bump', 'bulge']",בליטה
3913,"['mixture', 'concoction', 'medley', 'pot-pourri']",בליל
3914,"['mixture', 'mash', 'mixing']",בלילה
3915,"['braking', '(military) holding action', 'holding defense', 'restraint', 'curbing']",בלימה
3916,"['(colloquial) partygoer', 'bon vivant', 'someone who likes to go out a lot']",בלין
3917,"['(slang) blindly', 'without thinking', 'without giving it a second thought', '(slang) immediately', 'without hesitation', 'without giving it a second thought']",בלינד
3918,"['(slang) gluttony', 'gorging', 'overeating', 'stuffing']",בליסה
3919,['ballistic'],בליסטי
3920,['ballistics'],בליסטיקה
3921,['blister (pack)'],בליסטר
3922,"['(weaponry) ballista', 'catapult']",בליסטרא
3923,"['swallowing', 'swallow (noun)', 'absorption', 'taking in']",בליעה
3924,"['(flowery) wickedness', 'evil', 'good-for-nothingness']",בליעל
3925,"['blitz', 'הבליץ - the Blitz (of London)']",בליץ
3926,"['to mix', 'to mingle', '(biblical) to confound', 'to confuse']",בלל
3927,['balalaika'],בלליקה
3928,"['(sport) defender', 'back']",בלם
3929,"['to brake', 'to slow down', 'to block', 'to obstruct', 'to curb', 'to halt']",בלם
3930,['brake (noun)'],בלם
3931,"['ravenous hunger', 'ravenousness']",בלמוס
3932,['Belmopan (city)'],בלמופן
3933,"['ritual bathhouse attendant (male)', 'bathhouse attendant']",בלן
3934,['blender'],בלנדר
3935,['ritual bathhouse attendant (female)'],בלנית
3936,['blank form'],בלנקו
3937,"['(slang) to overeat', 'to gorge oneself']",בלס
3938,"['to swallow', 'to engulf', 'to swallow up', 'to restrain oneself', 'to forbear', '(slang) to swallow hook', 'line and sinker', 'to fall for something', 'to be taken in']",בלע
3939,"['(literary) mouthful', 'gobbet', 'unswallowed food']",בלע
3940,"['(biblical) to destroy', 'to wipe out']",בלע
3941,"['to be detrimental', 'to be harmful']",בלע
3942,"['exclusive', 'unique']",בלעדי
3943,"['without', 'in the absence of', 'if not for', 'were it not for', 'מבלעדי - (biblical) apart from', 'other than']",בלעדי
3944,"['exclusivity', 'uniqueness']",בלעדיות
3945,"['in a foreign language', 'not Hebrew', 'ancient French used by the commentator  Rashi']",בלעז
3946,['(literary) gluttonous'],בלען
3947,['(literary) gluttony'],בלענות
3948,['gluttonous'],בלעני
3949,"['(slang) to lie', 'to fabricate', 'to fake', 'to humbug (coarse slang) to bullshit']",בלף
3950,['Belfast'],בלפסט
3951,['balcony'],בלקון
3952,"['Balkans', 'Balkan peninsula', 'Balkan states', 'Balkan mountains']",בלקן
3953,['Balkan'],בלקני
3954,['Balkanization'],בלקניזציה
3955,['Belarus (also: Belorussia)'],בלרוס
3956,['Belorussian (language)'],בלרוסית
3957,['ballerina'],בלרינה
3958,['detective'],בלש
3959,"['to follow someone', 'to track someone', '(literary) to search', 'to investigate']",בלש
3960,['detective'],בלשי
3961,"['linguist', 'philologist']",בלשן
3962,"['linguistics', 'philology']",בלשנות
3963,"['linguistic', 'philological']",בלשני
3964,"['other than', 'else', 'without']",בלת
3965,"['not', 'non']",בלתי
3966,"['(biblical) only', 'nothing else']",בלתי
3967,"['unexpected', 'surprising']",בלתי צפוי
3968,"['staging', 'direction (theater)']",במאות
3969,['director'],במאי
3970,"['definitely', 'without doubt', 'beyond a shadow of a doubt']",במבהק
3971,['bamboo'],במבוק
3972,['Bamidbar - the fourth book of the bible (Numbers)'],במדבר
3973,"['in accordance with', '(colloquial, incorrect) if', 'in the event that']",במדה
3974,"['stage (noun)', 'forum']",במה
3975,"['soon', 'shortly']",במהרה
3976,['(part of a phrase) with his/her very own...'],במו
3977,"['stage-managing', 'direction (of play, film)']",במוי
3978,['(music) flat'],במול
3979,"['(Jewish law) intentionally', 'deliberately', 'knowingly', 'maliciously', 'with malice aforethought', 'deliberately']",במזיד
3980,"['in the company of', 'near']",במחצת
3981,['(Aramaic) (flowery) please!'],במטותא
3982,"['(Arabic) bamiah', 'okra', ""lady's fingers""]",במיה
3983,"['mainly', 'in particular', 'specially', 'very much', 'extremely', 'especially']",במיחד
3984,"['directly', 'openly', 'forthrightly', 'frankly']",במישרין
3985,"['out of sight', 'clandestinely', 'furtively']",במסתרים
3986,"['insistently', 'urgently', 'vigorously', 'defiantly', 'aggressively']",במפגיע
3987,['(colloquial) speed bumps'],במפר
3988,"['deliberately', 'outrightly', 'prominently']",במצהר
3989,"['simultaneously', 'at the same time', 'parallel (adverb)']",במקביל
3990,"['instead of', 'in place of']",במקום
3991,"['slightly', 'partly', 'somewhat']",במקצת
3992,"['unintentionally', 'accidentally']",במקרה
3993,"['deliberately', 'on purpose']",במתכון
3994,"['son', 'boy', 'member of group (nation, class, family)', 'native', 'בני - my son', 'son (usu. term of endearment)', 'הבן - junior', 'the second (title)']",בן
3995,['(flowery) to understand'],בן
3996,"['aged ...', 'having reached the age of', 'comprising', 'made up of', 'composed of']",בן
3997,"['man', 'person', 'human being', '(colloquial) adult', 'responsible person', 'grown up']",בן אדם
