,index,English,Hebrew
1178,3889,thirsty,צחא
1179,3893,pray,תחא
1180,3896,straw,גחב
1181,3897,push,דחב
1182,3900,scurvy,זחב
1183,3902,mildew,טחב
1184,3903,like,יחב
1185,3906,love,מחב
1186,3907,nice,נחב
1187,3908,carry,סחב
1188,3910,chaff,פחב
1189,3911,straw,צחב
1190,3912,chaff,קחב
1191,3915,tuck,תחב
1192,3916,party,אחג
1193,3923,celebrated,חחג
1194,3928,holiday,מחג
1195,3929,celebrated,נחג
1196,3932,sneeze,פחג
1197,3937,celebrate,תחג
1198,3938,one,אחד
1199,3939,together,בחד
1200,3941,pressure,דחד
1201,3945,sharp,חחד
1202,3946,grind,טחד
1203,3947,together,יחד
1204,3949,per,לחד
1205,3952,bribery,סחד
1206,3953,one,עחד
1207,3954,fear,פחד
1208,3956,took,קחד
1209,3958,extortion,שחד
1210,3959,together,תחד
1211,3960,sister,אחה
1212,3961,fled,בחה
1213,3970,force,כחה
1214,3971,damp,לחה
1215,3973,resting,נחה
1216,3978,took,קחה
1217,3979,smelled,רחה
1218,3982,meadow,אחו
1219,3985,reject,דחו
1220,3986,The,החו
1221,3990,wet,טחו
1222,3993,wet,לחו
1223,3997,meadow,עחו
1224,3999,dawn,צחו
1225,4000,take,קחו
1226,4002,swim,שחו
1227,4003,pray,תחו
1228,4004,grip,אחז
1229,4010,move,זחז
1230,4014,as,כחז
1231,4015,press,לחז
1232,4018,sharpen,סחז
1233,4025,predict,תחז
1234,4032,smug,זחח
1235,4034,mush,טחח
1236,4039,snort,נחח
1237,4042,tinsmith,פחח
1238,4043,dry,צחח
1239,4044,take,קחח
1240,4045,sniff,רחח
1241,4046,chatty,שחח
1242,4048,one,אחט
1243,4050,ghat,גחט
1244,4059,click,לחט
1245,4060,needle,מחט
1246,4062,blackmail,סחט
1247,4065,Chet,צחט
1248,4071,bye,בחי
1249,4073,reject,דחי
1250,4080,alive,כחי
1251,4081,cheek,לחי
1252,4082,stroke,מחי
1253,4083,rest,נחי
1254,4084,filth,סחי
1255,4086,trash,פחי
1256,4088,take,קחי
1257,4090,armpit,שחי
1258,4091,live,תחי
1259,4099,laugh,חחך
1260,4100,tach,טחך
1261,4103,plantain,לחך
1262,4108,tin,פחך
1263,4110,laugh,קחך
1264,4113,crotch,תחך
1265,4116,coal,גחל
1266,4118,applied,החל
1267,4120,larva,זחל
1268,4122,slime,טחל
1269,4124,antimony,כחל
1270,4127,stream,נחל
1271,4133,Rachel,רחל
1272,4135,primer,תחל
1273,4139,coal,דחם
1274,4144,taste,טחם
1275,4145,heat,יחם
1276,4146,power,כחם
1277,4147,bread,לחם
1278,4148,warm,מחם
1279,4152,coal,פחם
1280,4156,granite,שחם
1281,4158,one,אחן
1282,4159,test,בחן
1283,4160,grace,גחן
1284,4161,millet,דחן
1285,4165,grace,חחן
1286,4166,milled,טחן
1287,4168,grace,כחן
1288,4169,melody,לחן
1289,4170,from,מחן
1290,4179,please,תחן
1291,4183,compress,דחס
1292,4186,Zach,זחס
1293,4189,ratio,יחס
1294,4191,click,לחס
1295,4192,warehouse,מחס
1296,4202,one,אחע
1297,4204,sigh,גחע
1298,4206,the,החע
1299,4208,soot,זחע
1300,4210,grind,טחע
1301,4212,as,כחע
1302,4213,lick,לחע
1303,4214,from,מחע
1304,4216,drift,סחע
1305,4218,tin,פחע
1306,4221,rasa,רחע
1307,4227,urge,דחף
1308,4231,brat,חחף
1309,4232,impulse,טחף
1310,4233,barefoot,יחף
1311,4234,forced,כחף
1312,4236,wipe,מחף
1313,4238,erosion,סחף
1314,4241,driftwood,צחף
1315,4245,undersea,תחף
1316,4246,squeeze,אחץ
1317,4248,squat,גחץ
1318,4252,crushed,זחץ
1319,4254,grind,טחץ
1320,4257,pressure,לחץ
1321,4258,crush,מחץ
1322,4259,necessary,נחץ
1323,4260,squeeze,סחץ
1324,4261,pressure,עחץ
1325,4262,snort,פחץ
1326,4263,brushed,צחץ
1327,4266,arrogance,שחץ
1328,4267,arrow,תחץ
1329,4276,grind,טחק
1330,4284,snort,פחק
1331,4287,away,רחק
1332,4288,play,שחק
1333,4289,tickle,תחק
1334,4291,choose,בחר
1335,4299,tomorrow,יחר
1336,4302,tomorrow,מחר
1337,4303,snort,נחר
1338,4305,another,עחר
1339,4306,pride,פחר
1340,4307,dawn,צחר
1341,4309,snort,רחר
1342,4310,Dawn,שחר
1343,4311,compete,תחר
1344,4315,pressure,דחש
1345,4320,moss,טחש
1346,4323,spell,לחש
1347,4324,felt,מחש
1348,4325,snake,נחש
1349,4327,gecko,עחש
1350,4330,straw,קחש
1351,4331,rustle,רחש
1352,4333,dachshund,תחש
1353,4339,and,וחת
1354,4342,wet,טחת
1355,4345,moisture,לחת
1356,4347,landed,נחת
1357,4349,once,עחת
1358,4350,depreciation,פחת
1359,4352,take,קחת
1360,4354,hay,שחת
1361,4355,under,תחת
1362,4356,atta,אטא
1363,4357,Beta,בטא
1364,4363,sin,חטא
1365,4371,Ata,עטא
1366,4378,fastener,אטב
1367,4386,good,טטב
1368,4387,good,יטב
1369,4388,good,כטב
1370,4389,Latvian,לטב
1371,4392,Steve,סטב
1372,4393,wrap,עטב
1373,4396,plaque,קטב
1374,4397,sauce,רטב
1375,4400,tag,אטג
1376,4415,wreath,עטג
1377,4421,tag,תטג
1378,4422,bramble,אטד
1379,4426,Ted,הטד
1380,4429,sharp,חטד
1381,4437,pen,עטד
1382,4441,vibrate,רטד
1383,4442,Ted,שטד
1384,4443,Ted,תטד
1385,4445,beta,בטה
1386,4451,wheat,חטה
1387,4459,pen,עטה
1388,4464,fool,שטה
1389,4465,tilt,תטה
1390,4468,ghetto,גטו
1391,4471,veto,וטו
1392,4473,sting,חטו
1393,4474,tattoo,טטו
1394,4479,net,נטו
1395,4480,Stu,סטו
1396,4509,splash,תטז
1397,4516,grass,זטח
1398,4521,mortar,לטח
1399,4522,salvo,מטח
1400,4528,cut,קטח
1401,4531,slap,תטח
1402,4534,ghetto,גטט
1403,4539,pimple,חטט
1404,4543,Lett,לטט
1405,4544,Matt,מטט
1406,4547,pen,עטט
1407,4549,quote,צטט
1408,4551,vibration,רטט
1409,4552,state,שטט
1410,4554,slow,אטי
1411,4555,Betty,בטי
1412,4564,Katie,כטי
1413,4565,Letty,לטי
1414,4570,patty,פטי
1415,4572,Catty,קטי
1416,4576,attach,אטך
1417,4588,match,מטך
1418,4597,hit,תטך
1419,4599,void,בטל
1420,4605,fallow,חטל
1421,4611,burden,נטל
1422,4613,calf,עטל
1423,4614,raspberry,פטל
1424,4616,slaughter,קטל
1425,4620,seal,אטם
1426,4636,broiler,פטם
1427,4638,chopped,קטם
1428,4639,Ram,רטם
1429,4642,Aten,אטן
1430,4652,cut,כטן
1431,4656,Stan,סטן
1432,4658,paten,פטן
1433,4661,grunt,רטן
1434,4668,flew,הטס
1435,4674,flying,כטס
1436,4676,Mats,מטס
1437,4679,pen,עטס
1438,4684,flying,שטס
1439,4694,mistaken,טטע
1440,4698,plantation,מטע
1441,4703,sorry,צטע
1442,4704,segment,קטע
1443,4705,rattled,רטע
1444,4709,gently,בטף
1445,4710,plucked,גטף
1446,4711,daft,דטף
1447,4719,caress,לטף
1448,4721,myrrh,נטף
1449,4723,wrap,עטף
1450,4728,flux,שטף
1451,4729,splashed,תטף
1452,4750,ran,שטץ
1453,4773,Tech,תטק
1454,4782,Tatar,טטר
1455,4786,meter,מטר
1456,4790,Petr,פטר
1457,4792,locomotive,קטר
1458,4794,bill,שטר
1459,4798,gotch,גטש
1460,4805,itch,יטש
1461,4807,polisher,לטש
1462,4809,abandoned,נטש
1463,4811,sneeze,עטש
1464,4812,patch,פטש
1465,4814,catch,קטש
1466,4816,blurred,שטש
1467,4822,tilt,הטת
1468,4825,chaff,חטת
1469,4830,staff,מטת
1470,4833,pen,עטת
1471,4834,patty,פטת
1472,4836,Kate,קטת
1473,4837,shook,רטת
1474,4842,ravine,גיא
1475,4847,alive,חיא
1476,4851,Lea,ליא
1477,4854,Sia,סיא
1478,4856,Pia,פיא
1479,4858,puke,קיא
1480,4860,record,שיא
1481,4861,Thea,תיא
1482,4862,Eve,איב
1483,4863,sewer,ביב
1484,4864,Gib,גיב
1485,4869,affectionate,חיב
1486,4870,quality,טיב
1487,4872,ulcer,כיב
1488,4873,Liv,ליב
1489,4875,dialect,ניב
1490,4876,fiber,סיב
1491,4877,tired,עיב
1492,4878,Phoebe,פיב
1493,4879,fiber,ציב
1494,4881,fight,ריב
1495,4886,gig,גיג
1496,4887,fishing,דיג
1497,4894,as,כיג
1498,4898,dross,סיג
1499,4899,anchor,עיג
1500,4904,get,שיג
1501,4905,tag,תיג
1502,4906,misfortune,איד
1503,4908,tendon,גיד
1504,4914,Ted,טיד
1505,4916,hand,כיד
1506,4918,immediately,מיד
1507,4920,lime,סיד
1508,4923,hunting,ציד
1509,4925,Reid,ריד
1510,4931,enough,דיה
1511,4932,was,היה
1512,4939,Leah,ליה
1513,4942,Sia,סיה
1514,4944,fairy,פיה
1515,4949,tea,תיה
1516,4953,ink,דיו
1517,4956,splendor,זיו
1518,4957,lived,חיו
1519,4960,as,כיו
1520,4964,Sioux,סיו
1521,4969,Rio,ריו
1522,4971,Theo,תיו
1523,4973,biz,ביז
1524,4974,Geez,גיז
1525,4978,ledge,זיז
1526,4979,chest,חיז
1527,4982,because,כיז
1528,4983,Liz,ליז
1529,4986,Sis,סיז
1530,4989,cheesy,ציז
1531,4993,thesis,תיז
1532,4994,brother,איח
1533,4998,the,היח
1534,5000,indent,זיח
1535,5002,plaster,טיח
1536,5004,phlegm,כיח
1537,5005,phlegm,ליח
1538,5007,stationary,ניח
1539,5008,foal,סיח
1540,5010,soot,פיח
1541,5012,took,קיח
1542,5013,smell,ריח
1543,5014,discourse,שיח
1544,5015,stick,תיח
1545,5016,slow,איט
1546,5023,tailor,חיט
1547,5024,clay,טיט
1548,5026,kit,כיט
1549,5030,span,סיט
1550,5031,eagle,עיט
1551,5032,Pete,פיט
1552,5033,quote,ציט
1553,5034,kit,קיט
1554,5036,sailing,שיט
1555,5040,gay,גיי
1556,5041,enough,דיי
1557,5048,because,כיי
1558,5049,Leigh,ליי
1559,5050,May,מיי
1560,5053,tired,עיי
1561,5056,Kay,קיי
1562,5057,Ray,ריי
1563,5060,how,איך
1564,5062,quick,גיך
1565,5063,you,דיך
1566,5067,palate,חיך
1567,5072,Mitch,מיך
1568,5074,pin,סיך
1569,5078,kitchen,קיך
1570,5079,Rich,ריך
1571,5081,you,תיך
1572,5083,Bill,ביל
1573,5084,age,גיל
1574,5085,deal,דיל
1575,5087,Will,ויל
1576,5089,force,חיל
1577,5090,missile,טיל
1578,5091,Yale,ייל
1579,5093,night,ליל
1580,5094,mile,מיל
1581,5095,Neil,ניל
1582,5099,target,ציל
1583,5101,Real,ריל
1584,5103,wire,תיל
1585,5110,gill,זים
1586,5112,Tim,טים
1587,5116,water,מים
1588,5119,um,עים
1589,5120,Pim,פים
1590,5122,Kim,קים
1591,5123,rim,רים
1592,5124,put,שים
1593,5125,Tim,תים
1594,5126,nothing,אין
1595,5127,between,בין
1596,5128,gin,גין
1597,5129,law,דין
1598,5132,dick,זין
1599,5134,clay,טין
1600,5135,wine,יין
1601,5136,ready,כין
1602,5137,Lynn,לין
1603,5138,sex,מין
1604,5141,eye,עין
1605,5142,penis,פין
1606,5144,Cain,קין
1607,5147,fig,תין
1608,5156,aviation,טיס
1609,5158,pocket,כיס
1610,5161,nice,ניס
1611,5162,groom,סיס
1612,5163,pulp,עיס
1613,5164,lottery,פיס
1614,5166,kiss,קיס
1615,5167,eyelash,ריס
1616,5171,expressed,ביע
1617,5174,hey,היע
1618,5176,sweat,זיע
1619,5177,live,חיע
1620,5178,stick,טיע
1621,5180,smothered,כיע
1622,5182,mouthed,מיע
1623,5184,faction,סיע
1624,5186,fie,פיע
1625,5198,bristle,זיף
1626,5201,nice,ייף
1627,5202,fun,כיף
1628,5205,waved,ניף
1629,5206,sword,סיף
1630,5211,riff,ריף
1631,5213,nice,תיף
1632,5216,miller,גיץ
1633,5217,diet,דיץ
1634,5221,barrier,חיץ
1635,5224,summer,כיץ
1636,5225,heald,ליץ
1637,5226,juice,מיץ
1638,5229,egg,עיץ
1639,5231,peep,ציץ
1640,5232,summer,קיץ
1641,5235,squirt,תיץ
1642,5239,Dick,דיק
1643,5241,Vic,ויק
1644,5242,spark,זיק
1645,5243,lap,חיק
1646,5244,teak,טיק
1647,5248,Mick,מיק
1648,5249,Nick,ניק
1649,5255,blank,ריק
1650,5261,pen,דיר
1651,5265,freedom,חיר
1652,5267,shoot,ייר
1653,5268,sink,כיר
1654,5269,Lear,ליר
1655,5272,pot,סיר
1656,5274,shaft,פיר
1657,5275,axis,ציר
1658,5276,wall,קיר
1659,5277,mucus,ריר
1660,5279,shoot,תיר
1661,5280,man,איש
1662,5281,bad,ביש
1663,5287,quickly,חיש
1664,5294,sish,סיש
1665,5296,fish,פיש
1666,5301,goat,תיש
1667,5305,religion,דית
1668,5306,was,הית
1669,5308,olive,זית
1670,5312,class,כית
1671,5314,dead,מית
1672,5317,time,עית
1673,5319,fire,צית
1674,5320,Keith,קית
1675,5323,give,תית
1676,5324,aka,אכא
1677,5327,depressed,דכא
1678,5333,Yaka,יכא
1679,5338,Saka,סכא
1680,5339,aka,עכא
1681,5348,star,גכב
1682,5354,type,טכב
1683,5360,layered,סכב
1684,5361,delay,עכב
1685,5364,star,קכב
1686,5365,vehicle,רכב
1687,5372,the,הכג
1688,5377,as,יכג
1689,5378,as,ככג
1690,5381,as,נכג
1691,5385,watch,צכג
1692,5388,that,שכג
1693,5390,Akkad,אכד
1694,5393,depressed,דכד
1695,5399,how,יכד
1696,5403,grandson,נכד
1697,5404,synagogue,סכד
1698,5410,that,שכד
1699,5411,forever,תכד
1700,5412,hit,אכה
1701,5413,cried,בכה
1702,5416,hit,הכה
1703,5418,won,זכה
1704,5423,lacquer,לכה
1705,5424,blow,מכה
1706,5425,handicapped,נכה
1707,5426,brush,סכה
1708,5427,now,עכה
1709,5429,wait,צכה
1710,5431,soft,רכה
1711,5433,hit,תכה
1712,5435,cried,בכו
1713,5438,hit,הכו
1714,5440,won,זכו
1715,5441,wait,חכו
1716,5443,hit,יכו
1717,5445,go,לכו
1718,5446,hit,מכו
1719,5447,disabled,נכו
1720,5451,wait,צכו
1721,5453,soft,רכו
1722,5455,you,תכו
1723,5458,thirty,גכז
1724,5460,the,הכז
1725,5463,wait,חכז
1726,5464,sixteen,טכז
1727,5468,from,מכז
1728,5478,yes,אכח
1729,5479,forcibly,בכח
1730,5481,suppressed,דכח
1731,5484,forgot,זכח
1732,5487,yes,יכח
1733,5488,force,ככח
1734,5489,power,לכח
1735,5490,attest,מכח
1736,5491,present,נכח
1737,5492,forget,סכח
1738,5493,right,עכח
1739,5494,sober,פכח
1740,5498,forgot,שכח
1741,5499,deny,תכח
1742,5503,plywood,דכט
1743,5510,as,ככט
1744,5515,genuine,עכט
1745,5521,plank,תכט
1746,5523,crying,בכי
1747,5528,win,זכי
1748,5529,wait,חכי
1749,5533,go,לכי
1750,5534,Mecca,מכי
1751,5535,disabled,נכי
1752,5536,agree,סכי
1753,5538,mouth,פכי
1754,5539,wait,צכי
1755,5546,you,גכך
1756,5547,thus,דכך
1757,5551,scab,חכך
1758,5553,so,יכך
1759,5558,thatch,סכך
1760,5559,yours,עכך
1761,5560,so,פכך
1762,5561,yours,צכך
1763,5562,thatch,קכך
1764,5563,soft,רכך
1765,5566,food,אכל
1766,5572,clever,זכל
1767,5573,wise,חכל
1768,5575,could,יכל
1769,5578,tank,מכל
1770,5580,foolish,סכל
1771,5581,digested,עכל
1772,5585,gossip,רכל
1773,5587,eat,תכל
1774,5590,your,גכם
1775,5591,yours,דכם
1776,5594,smart,זכם
1777,5595,smart,חכם
1778,5596,your,טכם
1779,5600,radar,מכם
1780,5601,you,נכם
1781,5602,agreed,סכם
1782,5603,smart,עכם
1783,5608,shoulder,שכם
1784,5610,indeed,אכן
1785,5611,well,בכן
1786,5614,ready,הכן
1787,5615,also,וכן
1788,5618,did,טכן
1789,5619,where,יכן
1790,5621,so,לכן
1791,5622,then,מכן
1792,5625,Akan,עכן
1793,5627,shrunk,צכן
1794,5631,design,תכן
1795,5635,duke,דכס
1796,5638,check,זכס
1797,5640,ceremony,טכס
1798,5645,asset,נכס
1799,5646,sex,סכס
1800,5647,buttock,עכס
1801,5651,ridge,רכס
1802,5656,now,גכע
1803,5657,now,דכע
1804,5658,the,הכע
1805,5660,won,זכע
1806,5666,after,מכע
1807,5669,aka,עכע
1808,5673,today,רכע
1809,5674,now,שכע
1810,5676,saddle,אכף
1811,5679,dachshund,דכף
1812,5682,immediately,זכף
1813,5683,soon,חכף
1814,5685,soon,יכף
1815,5688,spoon,מכף
1816,5689,applied,נכף
1817,5693,quick,צכף
1818,5696,soon,שכף
1819,5697,soon,תכף
1820,5700,squat,גכץ
1821,5715,click,צכץ
1822,5717,bowed,רכץ
1823,5720,Akka,אכק
1824,5733,hurt,נכק
1825,5734,gap,סכק
1826,5735,ache,עכק
1827,5736,peck,פכק
1828,5737,chuckle,צכק
1829,5739,soft,רכק
1830,5742,farmer,אכר
1831,5746,recognition,הכר
1832,5748,male,זכר
1833,5749,rent,חכר
1834,5752,square,ככר
1835,5754,sale,מכר
1836,5756,dam,סכר
1837,5757,cloudy,עכר
1838,5762,wage,שכר
1839,5768,beat,הכש
1840,5770,saved,זכש
1841,5772,slop,טכש
1842,5773,thatch,יכש
1843,5774,when,ככש
1844,5776,winch,מכש
1845,5777,weed,נכש
1846,5780,gnat,פכש
1847,5781,twitter,צכש
1848,5782,straw,קכש
1849,5783,procurement,רכש
1850,5786,aunt,אכת
1851,5795,sect,יכת
1852,5797,gone,לכת
1853,5799,disabled,נכת
1854,5804,ketch,קכת
1855,5805,soft,רכת
1856,5807,melt,תכת
1857,5809,without,בלא
1858,5811,Della,דלא
1859,5816,Aries,טלא
1860,5817,no,ילא
1861,5818,prison,כלא
1862,5820,full,מלא
1863,5821,full,נלא
1864,5824,wonder,פלא
1865,5828,no,שלא
1866,5830,Alb,אלב
1867,5832,barber,גלב
1868,5837,milk,חלב
1869,5847,cross,צלב
1870,5848,kennel,קלב
1871,5850,stage,שלב
1872,5851,heart,תלב
1873,5855,skip,דלג
1874,5866,slag,סלג
1875,5868,faction,פלג
1876,5869,ice,צלג
1877,5872,snow,שלג
1878,5873,snow,תלג
1879,5876,scab,גלד
1880,5888,salad,סלד
1881,5891,sled,צלד
1882,5894,skeleton,שלד
1883,5896,goddess,אלה
1884,5897,Bella,בלה
1885,5899,poor,דלה
1886,5904,lamb,טלה
1887,5908,word,מלה
1888,5913,shadow,צלה
1889,5914,easy,קלה
1890,5916,its,שלה
1891,5918,these,אלו
1892,5919,excise,בלו
1893,5921,lean,דלו
1894,5922,hello,הלו
1895,5924,cheap,זלו
1896,5926,Aries,טלו
1897,5928,all,כלו
1898,5934,Flo,פלו
1899,5935,cello,צלו
1900,5956,brass,פלז
1901,5962,sepsis,אלח
1902,5963,wet,בלח
1903,5964,shaved,גלח
1904,5968,slipped,זלח
1905,5970,sloppy,טלח
1906,5975,humid,נלח
1907,5976,forgive,סלח
1908,5978,segment,פלח
1909,5979,successful,צלח
1910,5980,cob,קלח
1911,5983,brackish,תלח
1912,5984,alto,אלט
1913,5985,ballet,בלט
1914,5991,decided,חלט
1915,5994,input,כלט
1916,5996,cement,מלט
1917,5998,salad,סלט
1918,6000,output,פלט
1919,6002,input,קלט
1920,6007,without,בלי
1921,6008,jelly,גלי
1922,6009,Aquarius,דלי
1923,6013,ornament,חלי
1924,6016,tool,כלי
1925,6019,Nelly,נלי
1926,6020,Sally,סלי
1927,6021,pestle,עלי
1928,6023,roast,צלי
1929,6024,Kelly,קלי
1930,6031,poor,דלך
1931,6034,yours,זלך
1932,6035,slipped,חלך
1933,6036,talc,טלך
1934,6040,king,מלך
1935,6044,spindle,פלך
1936,6045,slice,צלך
1937,6046,easy,קלך
1938,6048,your,שלך
1939,6049,go,תלך
1940,6050,God,אלל
1941,6054,praise,הלל
1942,6056,glutton,זלל
1943,6057,space,חלל
1944,6060,rule,כלל
1945,6063,Neal,נלל
1946,6064,basket,סלל
1947,6067,dive,צלל
1948,6068,curse,קלל
1949,6070,loot,שלל
1950,6071,mound,תלל
1951,6072,muteness,אלם
1952,6073,brake,בלם
1953,6074,raw,גלם
1954,6076,shock,הלם
1955,6081,silent,ילם
1956,6087,youth,עלם
1957,6088,Flem,פלם
1958,6089,photographer,צלם
1959,6090,Clem,קלם
1960,6092,whole,שלם
1961,6093,rut,תלם
1962,6094,Alan,אלן
1963,6096,Glenn,גלן
1964,6098,Helen,הלן
1965,6109,Alan,עלן
1966,6111,cellist,צלן
1967,6114,theirs,שלן
1968,6126,any,כלס
1969,6127,Les,ללס
1970,6132,leveler,פלס
1971,6134,derision,קלס
1972,6140,discovered,גלע
1973,6141,pumpkin,דלע
1974,6144,left,זלע
1975,6145,sloppy,חלע
1976,6146,Aries,טלע
1977,6148,caught,כלע
1978,6149,swallow,ללע
1979,6151,Neal,נלע
1980,6155,rib,צלע
1981,6156,slingshot,קלע
1982,6162,carver,גלף
1983,6163,leakage,דלף
1984,6168,hoof,טלף
1985,6170,sunburn,כלף
1986,6176,fluff,פלף
1987,6177,sniper,צלף
1988,6178,Judaica,קלף
1989,6179,Ralph,רלף
1990,6180,stubble,שלף
1991,6181,lost,תלף
1992,6189,extract,חלץ
1993,6196,salad,סלץ
1994,6207,fuel,דלק
1995,6211,Part,חלק
1996,6214,each,כלק
1997,6218,beet,סלק
1998,6221,scar,צלק
1999,6222,click,קלק
2000,6225,taluk,תלק
2001,6233,empty,חלר
2002,6237,Ler,ללר
2003,6249,detective,בלש
2004,6253,Welsh,ולש
2005,6255,weak,חלש
2006,6258,any,כלש
2007,6262,slush,סלש
2008,6264,flash,פלש
2009,6273,door,דלת
2010,6276,left,זלת
2011,6280,bride,כלת
2012,6285,rose,עלת
2013,6287,roast,צלת
2014,6288,easy,קלת
2015,6291,three,תלת
2016,6292,mother,אמא
2017,6296,Ma,המא
2018,6299,butter,חמא
2019,6300,unclean,טמא
2020,6303,why,למא
2021,6305,withered,נמא
2022,6307,mother,עמא
2023,6308,Fama,פמא
2024,6309,thirst,צמא
2025,6311,cheater,רמא
2026,6312,perhaps,שמא
2027,6313,Tama,תמא
2028,6353,tire,צמג
2029,6358,measured,אמד
2030,6360,dwarf,גמד
2031,6365,cute,חמד
2032,6367,measured,ימד
2033,6369,learn,למד
2034,6370,dimension,ממד
2035,6371,measured,נמד
2036,6374,Pam,פמד
2037,6375,pair,צמד
2038,6379,mead,תמד
2039,6380,aqueduct,אמה
2040,6383,dummy,דמה
2041,6386,lewdness,זמה
2042,6387,rage,חמה
2043,6388,Tama,טמה
2044,6389,lake,ימה
2045,6397,braid,צמה
2046,6399,level,רמה
2047,6401,theme,תמה
2048,6402,emu,אמו
2049,6413,Mo,למו
2050,6418,Pomo,פמו
2051,6423,ended,תמו
2052,6436,lucky,ממז
2053,6448,millet,גמח
2054,6454,seasoning,טמח
2055,6455,fast,ימח
2056,6457,starch,למח
2057,6458,marrow,ממח
2058,6462,flour,פמח
2059,6463,plant,צמח
2060,6464,flour,קמח
2061,6465,spear,רמח
2062,6466,happy,שמח
2063,6468,Emmett,אמט
2064,6470,gamete,גמט
2065,6483,Emmett,עמט
2066,6485,squeeze,צמט
2067,6486,wrinkle,קמט
2068,6488,left,שמט
2069,6492,reed,גמי
2070,6493,bloody,דמי
2071,6498,Tammy,טמי
2072,6499,maritime,ימי
2073,6500,as,כמי
2074,6501,whom,למי
2075,6504,Sammy,סמי
2076,6509,rummy,רמי
2077,6511,Tammy,תמי
2078,6519,warm,חמך
2079,6526,trust,סמך
2080,6533,support,תמך
2081,6536,camel,גמל
2082,6541,compassion,חמל
2083,6542,tamale,טמל
2084,6543,Yamel,ימל
2085,6546,mumble,ממל
2086,6547,port,נמל
2087,6548,symbol,סמל
2088,6549,labor,עמל
2089,6550,Pamela,פמל
2090,6552,withered,קמל
2091,6553,sand,רמל
2092,6554,left,שמל
2093,6559,bleeding,דמם
2094,6562,muzzle,זמם
2095,6564,clean,טמם
2096,6565,day,ימם
2097,6571,muffler,עמם
2098,6572,Pam,פמם
2099,6578,Amen,אמן
2100,6584,time,זמן
2101,6586,Teman,טמן
2102,6587,Yemen,ימן
2103,6588,as,כמן
2104,6590,finance,ממן
2105,6592,cursor,סמן
2106,6601,No,במס
2107,6607,violence,חמס
2108,6612,solvent,ממס
2109,6613,melt,נמס
2110,6620,No,שמס
2111,6622,mother,אמע
2112,6625,tear,דמע
2113,6626,the,המע
2114,6628,voice,זמע
2115,6635,received,נמע
2116,6638,suddenly,פמע
2117,6640,charm,קמע
2118,6643,absorb,תמע
2119,6657,nymph,נמף
2120,6662,camp,קמף
2121,6666,adopted,אמץ
2122,6673,leaven,חמץ
2123,6675,juice,ימץ
2124,6678,exhaust,ממץ
2125,6684,pinch,קמץ
2126,6686,trace,שמץ
2127,6687,extract,תמץ
2128,6691,checkered,דמק
2129,6701,necrosis,נמק
2130,6702,blush,סמק
2131,6703,valley,עמק
2132,6710,said,אמר
2133,6712,final,גמר
2134,6714,convert,המר
2135,6717,clay,חמר
2136,6719,bet,ימר
2137,6720,priest,כמר
2138,6722,affliction,ממר
2139,6727,wool,צמר
2140,6730,kept,שמר
2141,6734,flexible,גמש
2142,6735,Damascus,דמש
2143,6738,suede,זמש
2144,6739,five,חמש
2145,6741,real,ימש
2146,6742,almost,כמש
2147,6744,really,ממש
2148,6745,freckle,נמש
2149,6748,five,פמש
2150,6751,insect,רמש
2151,6752,sun,שמש
2152,6760,fornication,זמת
2153,6764,quantity,כמת
2154,6766,from,ממת
2155,6770,Pat,פמת
2156,6776,please,אנא
2157,6777,Bana,בנא
2158,6779,Dana,דנא
2159,6782,fornication,זנא
2160,6784,basket,טנא
2161,6785,Yana,ינא
2162,6786,Cana,כנא
2163,6787,Lena,לנא
2164,6789,Nana,ננא
2165,6795,Rana,רנא
2166,6805,snitch,חנב
2167,6813,grape,ענב
2168,6815,tail,צנב
2169,6816,hemp,קנב
2170,6828,Tang,טנג
2171,6848,Zend,זנד
2172,6849,hand,חנד
2173,6852,Canadian,כנד
2174,6860,Canada,קנד
2175,6861,Rand,רנד
2176,6863,swing,תנד
2177,6864,Anna,אנה
2178,6867,Dana,דנה
2179,6868,here,הנה
2180,6870,fornication,זנה
2181,6874,honest,כנה
2182,6875,Lena,לנה
2183,6876,dose,מנה
2184,6877,Nana,ננה
2185,6878,bush,סנה
2186,6880,turn,פנה
2187,6882,barrel,קנה
2188,6884,sleep,שנה
2189,6885,give,תנה
2190,6886,we,אנו
2191,6892,whore,זנו
2192,6894,Tano,טנו
2193,6896,honest,כנו
2194,6897,us,לנו
2195,6900,Snow,סנו
2196,6902,turned,פנו
2197,6904,canoe,קנו
2198,6907,let,תנו
2199,6910,archivist,גנז
2200,6914,move,זנז
2201,6925,censor,צנז
2202,6936,abandoned,זנח
2203,6942,position,מנח
2204,6943,rest,ננח
2205,6944,snort,סנח
2206,6950,rest,שנח
2207,6951,rest,תנח
2208,6954,Ghent,גנט
2209,6962,Kent,כנט
2210,6963,Lent,לנט
2211,6964,Ment,מנט
2212,6966,senate,סנט
2213,6970,Kent,קנט
2214,6977,Danish,דני
2215,6985,Lenny,לני
2216,6986,Manny,מני
2217,6987,nanny,נני
2218,6989,poor,עני
2219,6990,penny,פני
2220,6995,give,תני
2221,6996,plumb,אנך
2222,7003,educated,חנך
2223,7011,cloud,ענך
2224,7017,give,תנך
2225,7034,panel,פנל
2226,7040,are,אנם
2227,7043,acre,דנם
