,Gmatria Value,English,Hebrew
2828,285,['Archimedean'],ארכימדי
2829,335,['Archimedes'],ארכימדס
2830,344,['archipelago'],ארכיפלג
2831,271,"['(literary) long-limbed', '(literary) long-winded person', 'verbose person']",ארכן
2832,281,"['long-winded', 'verbose']",ארכני
2833,546,['Mesopotamia'],ארם נהרים
2834,304,['Armageddon'],ארמגדון
2835,250,['armada (fleet of warships)'],ארמדה
2836,285,['armadillo'],ארמדיל
2837,297,['palace'],ארמון
2838,251,"['Aramaic', 'Aramean']",ארמי
2839,251,"['Aramaic', 'Aramean (person)']",ארמי
2840,256,['(military) army'],ארמיה
2841,651,['Aramaic (language)'],ארמית
2842,301,['Armenian'],ארמני
2843,301,['Armenian (person)'],ארמני
2844,306,['Armenia'],ארמניה
2845,701,['Armenian (language)'],ארמנית
2846,251,['pine'],ארן
2847,251,['Oren (Hebrew name)'],ארן
2848,253,['hare (male)'],ארנב
2849,253,['(astronomy) Lepus'],ארנב
2850,309,['rabbit'],ארנבון
2851,268,['rabbit hutch'],ארנביה
2852,653,['hare (female)'],ארנבת
2853,256,['Orna (Hebrew name)'],ארנה
2854,256,['arena'],ארנה
2855,307,['Arnon (Hebrew name)'],ארנון
2856,312,"['rates', 'municipal rate', 'property tax']",ארנונה
2857,266,['pine mushroom'],ארניה
2858,351,"['pocketbook (U.S.)', 'handbag (British)', 'wallet']",ארנק
2859,407,['purse'],ארנקון
2860,261,"['poison', 'venom', 'hatred', 'malice']",ארס
2861,261,"['to betroth', 'to become engaged']",ארס
2862,271,"['poisonous', 'toxic', 'hateful', 'malicious']",ארסי
2863,677,"['toxicity', '(obsolete) poisonousness', 'venomousness', 'malice', 'spite', 'venom']",ארסיות
2864,311,['arsenic'],ארסן
2865,421,"['arsenic (arsenic trioxide, white arsenic)']",ארסניק
2866,341,['arsenal'],ארסנל
2867,271,"['to happen', 'to occur']",ארע
2868,271,"['will happen', 'will occur']",ארע
2869,272,['(Aramaic) land'],ארעא
2870,281,['temporary'],ארעי
2871,281,['temporary (noun)'],ארעי
2872,687,"['transience', 'temporariness']",ארעיות
2873,681,['temporarily'],ארעית
2874,291,"['land', 'country', 'earth', 'world', 'ארצה - to Israel', 'ארצה! - down! (command to animal)', 'הארץ - Israel (literally: the country)', 'הארץ - ground']",ארץ
2875,1314,"['United States', 'United States of America']",ארצות הברית
2876,301,"['national', 'down-to-earth', 'worldly']",ארצי
2877,707,"['corporeality', 'worldliness']",ארציות
2878,842,['Israeli'],ארצישראלי
2879,310,['arcade'],ארקדה
2880,306,"['(electricity) earth', 'ground']",ארקה
2881,582,['(astronomy) Arcturus'],ארקטורוס
2882,320,['Arctic'],ארקטי
2883,417,['Arkansas'],ארקנסו
2884,401,['(biblical) to curse'],ארר
2885,401,['(biblical) to curse'],ארר
2886,410,['Ararat (mountain in Turkey)'],אררט
2887,901,"['expression', 'appearance', 'countenance']",ארשת
2888,890,"['(medicine) arthritis', 'inflammation of the joints']",ארתריטיס
2889,301,"['fire', 'passion', 'fervor']",אש
2890,339,['(botany) spadix'],אשבול
2891,333,['Stachys'],אשבל
2892,553,"['(talmudic) plateau', 'pond']",אשברן
2893,305,"['rapid', 'cascade']",אשד
2894,310,['(biblical) slope'],אשדה
2895,315,['Ashdod (city in Israel)'],אשדוד
2896,705,['cascade'],אשדת
2897,306,"['woman', 'wife', 'אשתו - his wife']",אשה
2898,312,['bobbin'],אשוה
2899,315,['fir (tree)'],אשוח
2900,725,['spruce (tree)'],אשוחית
2901,347,['(law) conviction'],אשום
2902,357,"['(botany) rigid', 'inflexible', 'stiff', '(literary) solid', 'hard']",אשון
2903,507,"['certificate of approval', 'confirmation', 'acceptance', 'confirmation', 'approval', 'corroboration', 'באישור - with acquiescence (archaic: acquiescently)']",אשור
2904,507,['beech (tree)'],אשור
2905,507,['Assyria'],אשור
2906,552,['Assyriologist'],אשורולוג
2907,567,['Assyriology'],אשורולוגיה
2908,517,['Assyrian'],אשורי
2909,517,['Assyrian (person)'],אשורי
2910,917,['Assyrian (language)'],אשורית
2911,607,"['reinforcement', 'strengthening']",אשוש
2912,707,['(Talmudic) mole (animal)'],אשות
2913,509,['buckthorn'],אשחר
2914,316,"['(flowery) foundation', 'basis', 'figure', 'personage', 'prominent person', '(electronics) chassis']",אשיה
2915,616,['(biblical) kind of fruit cake'],אשישה
2916,616,['(literary) glass vessel'],אשישה
2917,321,"['testis', 'testicle']",אשך
2918,580,['undescended testis'],אשך טמיר
2919,328,"['burial', 'funeral']",אשכבה
2920,357,"['bunch', 'cluster']",אשכול
2921,357,['clustering'],אשכול
2922,767,['grapefruit'],אשכולית
2923,378,"['Ashkenaz (Eastern Europe and Western countries)', '(literary) Germany']",אשכנז
2924,388,['Ashkenazic (person) (Jew of East European or Western origin)'],אשכנזי
2925,388,['Ashkenazic  (pertaining to Jews of East European or Western origin)'],אשכנזי
2926,401,"['(archaic) leather worker', 'shoemaker']",אשכף
2927,521,"['(biblical) gift', 'tribute']",אשכר
2928,597,['box tree'],אשכרוע
2929,331,['tamarisk (tree)'],אשל
2930,334,['potash'],אשלג
2931,384,['potassium'],אשלגן
2932,346,"['illusion', 'misconception', 'delusion']",אשליה
2933,852,['optical illusion'],אשליה אופטית
2934,751,['illusional'],אשליתי
2935,341,['guilty'],אשם
2936,341,"['(flowery) to transgress', 'to be guilty', 'to sin']",אשם
2937,341,['guilt'],אשם
2938,352,"['sinner', 'wrongdoer', 'libertine']",אשמאי
2939,356,['Asmodeus (the king of demons in Jewish demonology)'],אשמדאי
2940,346,"['blame', 'fault', 'charge (noun)', 'guilt', 'באשמתו - his fault']",אשמה
2941,552,['watch (noun) (time period)'],אשמורה
2942,391,['naked-bellied tomb bat'],אשמן
2943,441,"['(literary) tombs', 'graves', 'deep darkness']",אשמנים
2944,941,['watch (noun) (time period)'],אשמרת
2945,353,"['small window', 'hatch']",אשנב
2946,364,"['teller', 'clerk']",אשנבאי
2947,381,"['expert', 'whiz']",אשף
2948,386,"['garbage', 'rubbish']",אשפה
2949,386,"['(flowery) pouch', 'quiver (noun)']",אשפה
2950,394,"['hospital admission', 'hospitalization']",אשפוז
2951,787,"['(colloquial) expertise', 'proficiency', 'skill']",אשפות
2952,388,['to admit to hospital'],אשפז
2953,388,['to admit (to hospital)'],אשפז
2954,391,"['(slang) excellent', 'great', 'superb', 'brilliant']",אשפי
2955,398,['(literary) guest'],אשפיז
2956,458,"['(Jewish ritual) Ushpizin', 'each of the seven mythic guests who visit the sukkah']",אשפיזין
2957,581,['to finish off textile materials'],אשפר
2958,813,['prefabricated cubic building'],אשקבית
2959,512,['(archaic) chess'],אשקוקה
2960,487,['Ashkelon (city)'],אשקלון
2961,501,"['bliss', 'happiness']",אשר
2962,501,['to approve'],אשר
2963,501,"['to confirm', 'to approve', 'to O.K.']",אשר
2964,501,"['that', 'which', 'whom', 'who', 'as regards', 'in regard to', 'באשר - with respect to', 'with regard to', 'מאשר - than', 'rather than', 'compared to']",אשר
2965,501,['Asher (Hebrew name)'],אשר
2966,501,['Asher (one of the twelve tribes of Israel)'],אשר
2967,671,"['therefore', 'hence', 'so']",אשר על כן
2968,512,"['credit (noun)', '(colloquial) trust', 'faith']",אשראי
2969,506,"['visa', 'approval', 'ratification']",אשרה
2970,506,['Astarte'],אשרה
2971,707,['ratification'],אשרור
2972,807,['tuber'],אשרוש
2973,511,['Oshri (also: Oshry) (Hebrew name)'],אשרי
2974,511,"['happy', 'overjoyed']",אשרי
2975,541,['ashram'],אשרם
2976,701,['to ratify'],אשרר
2977,701,['to ratify'],אשרר
2978,901,['Oshrat (Hebrew name)'],אשרת
2979,601,"['to be strengthened', 'to be reinforced']",אשש
2980,601,"['to reinforce', 'to strengthen', 'to base', 'to establish']",אשש
2981,957,['(slang) Iraqi pita bread'],אשתנור
2982,805,"['last year', 'דאשתקד - of last year', ""last year's""]",אשתקד
2983,401,"['term used to indicate a direct object', 'et', 'אותי - me', 'אותך', 'אתכם', 'אתכן - you', 'אותו - him', 'it', 'אותה - her', 'it', 'אותנו - us', 'אותם', 'אותן - them']",את
2984,401,"['you (female, singular)']",את
2985,401,"['spade', 'shovel']",את
2986,401,['with ...'],את
2987,459,['atheism'],אתאיזם
2988,481,['atheist'],אתאיסט
2989,491,['atheistic'],אתאיסטי
2990,610,['challenging'],אתגור
2991,604,['challenge (noun)'],אתגר
2992,604,"['to present a challenge', 'to challenge']",אתגר
2993,604,['to be challenged'],אתגר
2994,614,['challenging'],אתגרי
2995,406,"['you (singular, male)']",אתה
2996,461,['ethology'],אתולוגיה
2997,457,['she-ass'],אתון
2998,468,['Athenian (person)'],אתונאי
2999,468,['Athenian'],אתונאי
3000,462,['Athens'],אתונה
3001,467,['ethos'],אתוס
3002,607,"['localization', 'locating', 'identification']",אתור
3003,1017,"['beeper', 'pager (trademark)']",אתורית
3004,445,"['(computing) initialization', 'booting']",אתחול
3005,439,"['(computing) to initialize', 'to boot', 'to restart']",אתחל
3006,439,"['(computing) to be initialized', 'to be booted']",אתחל
3007,840,['(Aramaic) beginning'],אתחלתא
3008,411,['ethical'],אתי
3009,507,['Ethiopian (person)'],אתיופי
3010,507,['Ethiopian'],אתיופי
3011,512,['Ethiopia'],אתיופיה
3012,451,['ethyl'],אתילי
3013,491,['ethylene'],אתילן
3014,516,['ethics'],אתיקה
3015,440,['athlete'],אתלט
3016,450,['athletic'],אתלטי
3017,555,['athletics'],אתלטיקה
3018,441,"['you (plural, male)']",אתם
3019,447,"['(Aramaic) how strange', 'what a surprise']",אתמהא
3020,477,['yesterday'],אתמול
3021,451,"['you (plural, female)']",אתן
3022,456,"['Athena (goddess of wisdom, war and handicraft)']",אתנה
3023,457,['ethno-'],אתנו
3024,740,['ethnographer'],אתנוגרף
3025,750,['ethnographic'],אתנוגרפי
3026,755,['ethnography'],אתנוגרפיה
3027,487,['ethanol'],אתנול
3028,496,['ethnologist'],אתנולוג
3029,506,['ethnological'],אתנולוגי
3030,511,['ethnology'],אתנולוגיה
3031,967,['ethnomethodology'],אתנומתודולוגיה
3032,816,['ethnocentric'],אתנוצנטרי
3033,1222,['ethnocentricity'],אתנוצנטריות
3034,459,"['(weaponry) notch of the rear sight', '""U"" of the back-sight']",אתנח
3035,860,"['(Aramaic) pause', 'break (noun)']",אתנחתא
3036,461,['ethnic'],אתני
3037,867,['ethnicity'],אתניות
3038,501,"[""prostitute's fee""]",אתנן
3039,601,['site'],אתר
3040,601,['ether'],אתר
3041,601,"['to localize', 'to identify', 'to locate', 'to confine', 'to delimit', 'to circumscribe']",אתר
3042,601,"['to localize', 'to locate', 'to pinpoint']",אתר
3043,602,['(Aramaic) place'],אתרא
3044,607,"['warning', '(military) reprimand', 'admonition']",אתראה
3045,604,"['to keep someone out of public criticism', 'to handle him with kid gloves']",אתרג
3046,610,"['citron', 'etrog']",אתרוג
3047,610,"['keeping someone out of public criticism', 'handling him with kid gloves']",אתרוג
3048,611,['etheric'],אתרי
3049,671,['(Aramaic) to become worse (referring to luck)'],אתרע
3050,801,['signalman'],אתת
3051,2,"['in', 'at', 'with', 'by', 'for']",ב
3052,2,"['Beth (second letter of Hebrew alphabet)', 'two']",ב
3053,3,"['to come', 'to enter', 'to approach', 'to come near', 'יבוא! - come in! enter!']",בא
3054,3,"['attendee', 'one who is present', 'הבאות - future events']",בא
3055,3,"['next', 'nearest', 'coming']",בא
3056,37,"['agent', 'representative']",בא כוח
3057,562,"[""to set one's hand"", 'to sign']",בא על החתום
3058,11,"['in the bud', 'when it is early', 'when young']",באבו
3059,6,"['(computing, slang) bug']",באג
3060,13,['baobab (tree)'],באובב
3061,81,['(architecture) Bauhaus'],באוהאוס
3062,102,['bowling (ten pin)'],באולינג
3063,69,"['(slang) bummer', 'disappointing experience']",באוס
3064,209,"['explanation', 'exegesis']",באור
3065,219,"['explanatory', 'exegetical']",באורי
3066,309,"['smelly', 'spoilt (usu. referring to fruit)']",באוש
3067,10,['buzz'],באז
3068,63,['in the absence of'],באין
3069,443,['Balinese (language)'],באלית
3070,43,['if'],באם
3071,609,"['by means of', 'using', 'through']",באמצעות
3072,243,['saying'],באמר
3073,443,"['indeed', 'truly', 'in all honesty', 'really']",באמת
3074,443,"['really?! truly?!', '(colloquial) please', 'do me a favor']",באמת
3075,63,"['(slang) to upset', 'to mortify', 'to depress']",באס
3076,68,"['(Arabic) (slang) bummer', 'disappointing experience']",באסה
3077,203,['well (noun)'],באר
3078,203,"['to explain', 'to clarify']",באר
3079,203,['to be explained'],באר
3080,303,"['(literary) to rot', 'to putrefy']",באש
3081,673,"['(flowery) therefore', 'consequently', 'hence']",באשר על כן
3082,703,['halitosis'],באשת
3083,5,['(Aramaic) gate (used in phrases)'],בבא
3084,9,"['doll', 'mannequin (also: manikin)', 'effigy', 'puppet', 'marionette', '(colloquial) sweetheart', 'darling', 'honey']",בבה
3085,9,['(flowery) pupil (of eye)'],בבה
3086,16,"['reflection (in water, mirror)', '(literary) silhouette', 'image']",בבואה
3087,60,['baboon'],בבון
3088,63,['chamomile'],בבונג
3089,472,"['as', 'in terms of', 'in the sense of']",בבחינת
3090,34,['Babylon'],בבל
3091,39,"['(slang) sweetie', 'honey', 'darling']",בבלה
3092,44,['Babylonian'],בבלי
3093,44,['Babylonian (person)'],בבלי
3094,444,['Babylonian (language)'],בבלית
3095,434,"['(slang) rubbish', 'nonsense']",בבלת
3096,54,['puppeteer'],בבן
3097,65,['puppeteer'],בבנאי
3098,409,"['please', 'certainly! by all means!', 'be my guest', 'go ahead', 'with pleasure']",בבקשה
3099,410,"['clearly', 'explicitly']",בברור
3100,737,['snowman'],בבת שלג
3101,414,['doll-like'],בבתי
3102,5,"['(literary, rare) food', 'foodstuff']",בג
3103,9,"['article of clothing', 'garment']",בגד
3104,9,"['to engage in treason', 'to betray']",בגד
3105,59,"['bathing suit', 'bathing costume', 'swimsuit']",בגד ים
3106,13,['Baghdad (city)'],בגדד
3107,45,"['(colloquial) in a big way', 'on a large scale', '(colloquial) overall', 'in general']",בגדול
3108,209,"['in the form of', 'by way of', 'within the realms of', 'in terms of']",בגדר
3109,15,"['clothing', 'apparel']",בגוד
3110,76,['begonia'],בגוניה
3111,14,['(French) baguette'],בגט
3112,15,['buggy (motorized vehicle)'],בגי
3113,24,"['treason', 'unfaithfulness', 'deceit', 'treachery', 'betrayal']",בגידה
3114,65,"['(Aramaic) because of', 'on the basis of']",בגין
3115,215,"['adult (in a legal sense) (noun, adjective)']",בגיר
3116,220,['puberty'],בגירה
3117,65,['because of'],בגלל
3118,62,"['surreptitiously', 'stealthily', 'clandestinely']",בגנבה
3119,471,"['rudely', 'boorishly', 'coarsely']",בגסות
3120,85,"['alone', 'without family', 'by oneself']",בגפ
3121,205,"['to achieve adulthood', 'to mature']",בגר
3122,205,"['to make someone mature', 'grow up']",בגר
3123,611,"['adulthood', 'maturity', 'matriculation exams']",בגרות
3124,6,"['material', 'cloth', 'fabric', 'screen (movie)']",בד
3125,6,"['(literary) large tree branch', 'beam of olive press']",בד
3126,17,"['(literary) false', 'untrue', 'fabricated']",בדאי
3127,17,"['(literary) liar', 'fabricator']",בדאי
3128,17,"['(Literary) fabrication', 'lie', 'untruth']",בדאי
3129,208,"['with respect to', 'with reference to', 'regarding']",בדבר
3130,10,['to be insulated'],בדד
3131,10,['to insulate'],בדד
3132,10,"['(flowery) alone', 'לבדד - (flowery) alone']",בדד
3133,11,"['to fabricate (a story)', 'to dissemble', 'to make up (a story)']",בדה
3134,11,"['(uncommon) to concoct', 'to imagine', 'to make up']",בדה
3135,23,['Bedouin (person)'],בדואי
3136,23,['Bedouin'],בדואי
3137,16,['insulation'],בדוד
3138,20,"['amusing', 'entertaining', 'joyful']",בדוח
3139,22,"['fabricated', 'made up']",בדוי
3140,22,"['fabrication', 'confabulation']",בדוי
3141,22,['Bedouin (person)'],בדוי
3142,22,['Bedouin'],בדוי
3143,42,"['(literary) isolated', 'alone']",בדול
3144,42,"['segregation', 'separation', '(linguistics) differentiation']",בדול
3145,112,"['confirmed', 'checked', 'verified', 'tested', 'checked']",בדוק
3146,112,['security check'],בדוק
3147,123,['(police) potential suspect'],בדוקאי
3148,122,"[""(talmudic) someone whose father's identity is unknown""]",בדוקי
3149,212,"['entertainment', 'amusement']",בדור
3150,222,"['entertaining', 'amusing']",בדורי
3151,412,"['legend', 'fabrication']",בדות
3152,417,"['legend', 'fabrication']",בדותה
3153,14,"['to amuse', 'to entertain']",בדח
3154,60,"['(Aramic) with awe', 'fearfully']",בדחילו
3155,64,"['entertainer', 'merrymaker', 'prankster']",בדחן
3156,64,"['amusing', 'entertaining']",בדחן
3157,74,"['entertaining', 'amusing']",בדחני
3158,20,['(mathematics) discrete'],בדיד
3159,20,['rod'],בדיד
3160,426,"['loneliness', 'solitude', 'isolation']",בדידות
3161,21,"['lie', 'falsehood', 'fabrication']",בדיה
3162,72,['fiction'],בדיון
3163,82,['fictional'],בדיוני
3164,122,"['exactly', 'precisely']",בדיוק
3165,29,"['joke (noun)', '(slang) something ridiculous', 'absurdity']",בדיחה
3166,430,"['fun', 'jocularity', 'hilarity']",בדיחות
3167,46,['tin'],בדיל
3168,452,"['(literary) isolation', 'insularity', 'solitude']",בדילות
3169,122,['retired'],בדימוס
3170,92,"['in retrospect', '(Jewish law) post factum', 'ex post facto']",בדיעבד
3171,116,['testable'],בדיק
3172,121,"['examination', 'check (noun)', 'test (noun)']",בדיקה
3173,522,['testability'],בדיקות
3174,560,['blood test'],בדיקת דם
3175,932,['testability'],בדיקתיות
3176,416,['(music) small metal rod for striking a triangle'],בדית
3177,36,['a small piece'],בדל
3178,36,"['to segregate', 'to separate']",בדל
3179,36,"['to be isolated', 'to be split off', 'to be detached', 'to be differentiated', 'to be told apart']",בדל
3180,44,['crystal'],בדלח
3181,86,"['separatist', 'isolationist (noun)']",בדלן
3182,86,['separatist'],בדלן
3183,492,"['separatism', 'isolationism']",בדלנות
3184,96,"['separatist', 'isolationist']",בדלני
3185,171,['badminton'],בדמינטון
3186,106,"['to test', 'to check', 'to examine']",בדק
3187,106,"['repair', 'maintenance', 'upkeep', '(biblical) crack (noun)']",בדק
3188,206,"['to amuse', 'to entertain', 'to scatter', 'to spread out']",בדר
3189,206,"['to be amused', 'to be scattered']",בדר
3190,306,"['usually', 'in most cases in general']",בדרך כלל
3191,256,"['entertainer', 'comedian', 'comic']",בדרן
3192,18,"[""Baha'i (person)""]",בהאי
3193,18,"[""Baha'i""]",בהאי
3194,219,"['gradually', 'step by step', 'progressively', 'by degrees']",בהדרגה
3195,12,"['to stare into space', 'to daydream', 'to gaze']",בהה
3196,72,['Bhutan (the Kingdom of Bhutan)'],בהוטן
3197,43,"['urgent', 'rushing', 'in a hurry']",בהול
3198,18,"['unseen', 'covertly', 'clandestinely', 'surreptitiously']",בהחבא
3199,54,"['definitely', 'certainly', 'without doubt', 'of course', 'definitely', 'sure (in answer to a question)']",בהחלט
3200,16,"['alabaster', '(geology) porphyry']",בהט
3201,16,['baht (Thai monetary unit)'],בהט
3202,22,"['bewilderment', 'stare', 'astonishment']",בהיה
3203,423,"['since he is', 'being', 'seeing how', 'when he was']",בהיות
3204,453,"['haste', 'alarm', 'panic']",בהילות
3205,217,"['light', 'pale', 'bright', 'clear']",בהיר
3206,623,"['brightness', 'lightness', 'clarity', 'lucidity']",בהירות
3207,42,"['panic', 'fear']",בהלה
3208,42,"['frenzy', 'בבהלה - frenziedly', 'panic-stricken']",בהלה
3209,52,"['Bahamas', 'Bahama islands']",בהמה
3210,52,"['beast', 'animal (usu. domesticated)', '(biblical, Jewish law) animal', '(slang) vulgar person', 'animal', 'pig']",בהמה
3211,453,['(literary) hippopotamus'],בהמות
3212,57,"['brutish', 'animal-like', 'crude', 'vulgar', 'ponderous', 'stupid', '(literary) bodily', 'corporeal']",בהמי
3213,463,"['brutishness', 'crudity', 'vulgarity', 'ponderosity', 'stupidity']",בהמיות
3214,57,"['big toe', 'great toe', 'thumb', 'בהונות - toes', 'tiptoe']",בהן
3215,554,"['distractedly', 'absentmindedly', 'unintentionally']",בהסח הדעת
3216,281,"['in the absence of', 'without']",בהעדר
3217,107,"['(literary) glare', 'glitter']",בהק
3218,107,"['to sparkle', 'to glitter', 'to shine']",בהק
3219,151,"['as soon as possible', 'speedily', 'quickly']",בהקדם
3220,747,"['as soon as possible', 'at the earliest possible opportunity']",בהקדם האפשרי
3221,207,['while awake'],בהקיץ
3222,214,['much more'],בהרבה
3223,257,['(colloquial) brunch'],בהרים
3224,607,['(medicine) vitiligo'],בהרת
3225,448,"['accordingly', 'correspondingly']",בהתאם
3226,453,['respectively'],בהתאמה
3227,9,"['arrival', 'coming', 'בואך', 'בואכה - on the way to ...']",בוא
3228,396,['Buenos Aires'],בואנוס אירס
3229,309,['skunk'],בואש
3230,15,['traitor'],בוגד
3231,75,"['treacherous', 'disloyal']",בוגדני
3232,31,['Bogota'],בוגוטה
3233,113,['bougainvillea'],בוגנוילאה
3234,211,"['graduate', 'matriculant']",בוגר
3235,211,"['adult', 'mature']",בוגר
3236,23,"['certainly', 'definitely', 'of course', 'presumably', 'probably', 'apparently', 'ובוודאי - certainly', 'indubitably']",בודאי
3237,16,"['lonely', 'alone', 'isolated', 'desolate']",בודד
3238,16,"['isolated person', 'single person', 'בודדים - a few', 'individuals']",בודד
3239,16,['to isolate'],בודד
3240,16,"['to be isolated', 'to be set apart']",בודד
3241,18,['Buddha'],בודהא
3242,74,['Buddhism'],בודהיזם
3243,96,['Buddhist (person)'],בודהיסט
3244,106,['Buddhist'],בודהיסטי
3245,401,['Budapest'],בודפשט
3246,112,"['examiner', 'inspector']",בודק
3247,117,"['(slang) booth', 'cubicle']",בודקה
3248,18,"['staring', 'unseeing']",בוהה
3249,58,['Bohemia'],בוהמה
3250,63,['Bohemian'],בוהמי
3251,68,['Bohemia (state)'],בוהמיה
3252,113,['Bohemian (person)'],בוהמין
3253,113,"['glittery', 'shiny', 'gleaming']",בוהק
3254,15,"['scorn', 'contempt', 'disdain']",בוז
3255,15,['boo! (jeer)'],בוז
3256,15,"['scorn', 'contempt', 'disdain']",בוז
3257,131,['bouzouki'],בוזוקי
3258,22,"['looter', 'plunderer']",בוזז
3259,115,['simultaneous'],בוזמני
3260,521,['simultaneity'],בוזמניות
3261,515,['simultaneously'],בוזמנית
3262,66,"['examiner', 'inspector', 'tester']",בוחן
3263,66,"['critical', 'inquiring', 'examining']",בוחן
3264,216,"['voter', 'selector']",בוחר
3265,22,"['scathing', 'harsh', 'vitriolic', 'callous']",בוטה
3266,423,"['harshness', 'callousness']",בוטות
3267,127,['boutique'],בוטיק
3268,67,['butane'],בוטן
3269,78,['botanist'],בוטנאי
3270,77,['botanical'],בוטני
3271,188,['botanist'],בוטניקאי
3272,182,['botany'],בוטניקה
3273,248,['boiler'],בוילר
3274,42,"['(slang) bunch', 'large amount', 'loads of', 'tons of']",בוכטה
3275,43,"['weeping', 'crying', 'sobbing  (female)']",בוכיה
3276,233,['Bukhara'],בוכרה
3277,238,['Bukharan'],בוכרי
3278,238,['Bukharan (person)'],בוכרי
3279,638,['Bukhori (language)'],בוכרית
3280,38,['stamp (e.g. postage stamp)'],בול
3281,38,"[""bull's-eye"", '(slang) spot on! absolutely correct']",בול
3282,243,['postage stamp'],בול דאר
3283,198,"['log', 'block of wood']",בול עץ
3284,445,['philately'],בולאות
3285,49,['philatelist'],בולאי
3286,49,['philatelic'],בולאי
3287,251,['Bulgarian (person)'],בולגרי
3288,251,['Bulgarian'],בולגרי
3289,256,['Bulgaria'],בולגריה
3290,651,['Bulgarian (language)'],בולגרית
3291,51,['bulldog'],בולדוג
3292,255,"['bulldozer', '(slang) pusher', 'go-getter']",בולדוזר
3293,101,['bolognese'],בולונז
3294,109,['Bologna'],בולוניה
3295,47,"['prominent', 'projecting', 'sticking out', 'outstanding', 'remarkable', 'eminent', 'obvious', 'conspicuous', 'salient']",בולט
3296,453,"['prominence', 'conspicuousness', 'salience', 'standing out', 'being prominent']",בולטות
3297,303,['Baltimore'],בולטימור
3298,107,['bulletin'],בולטין
3299,109,"['(mathematics, logic) Boolean']",בוליאני
3300,60,['Bolivian (person)'],בוליבי
3301,60,['Bolivian'],בוליבי
3302,117,['boliviano (Bolivian currency)'],בוליביאנו
3303,121,['Bolivian'],בוליביאני
3304,121,['Bolivian (person)'],בוליביאני
3305,65,['Bolivia'],בוליביה
3306,250,['bolivar (Venezuelan currency)'],בוליבר
3307,103,['bulimia'],בולימיה
3308,68,['to allow or cause assimilation'],בולל
3309,158,"['(geology) swallow-hole', 'sinkhole', '(microbiology) phagocyte']",בולען
3310,244,['bolero'],בולרו
3311,397,['bolshevism'],בולשביזם
3312,450,['Bolshevik (person)'],בולשביק
3313,460,['Bolshevik'],בולשביקי
3314,357,"['(slang) bullshit', 'rubbish', 'nonsense']",בולשיט
3315,738,"['secret police', 'undercover police']",בולשת
3316,48,"['(colloquial) boom (noise)', '(slang) growth', 'upsurge', 'improvement']",בום
3317,48,"['(television, cinema) boom (for microphone)']",בום
3318,60,['Bombay'],בומבי
3319,129,"['bombastic', '(slang) wonderful', 'outstanding']",בומבסטי
3320,301,['boomerang'],בומרנג
3321,58,['Bonn'],בון
3322,116,"['(French) bonbon', '(archaic) sweet (noun)', '(colloquial) cute infant', 'pretty child']",בונבון
3323,331,"['chocolate-box', 'candy-box']",בונבונירה
3324,97,['bungalow'],בונגלו
3325,62,['(German) Bund (Jewish socialist movement)'],בונד
3326,141,['member of the Bund movement'],בונדיסט
3327,63,"['builder', 'founder', 'originator', 'initiator']",בונה
3328,63,['beaver'],בונה
3329,124,"['bonus', 'fringe benefit', 'reward']",בונוס
3330,514,['insight'],בוננות
3331,120,['bonanza'],בוננזה
3332,129,['bonsai'],בונסאי
3333,358,['bunker'],בונקר
3334,68,"['(colloquial) boss', 'supervisor', 'chief']",בוס
3335,133,['Boston'],בוסטון
3336,277,['booster'],בוסטר
3337,433,['boustrophedon (writing from right to left and from left to right)'],בוסטרופידון
3338,128,"['to plod', 'to trample', 'to tread']",בוסס
3339,420,['Bosphorus (also: Bosporus)'],בוספורוס
3340,83,['bubble'],בועה
3341,488,"['vesicle', 'globule']",בועית
3342,528,['pemphigus (skin disease)'],בוענת
3343,278,"['burning', '(colloquial) urgent']",בוער
3344,328,['(flowery) fools'],בוערים
3345,488,"['frothy', 'frilly', 'bubbly']",בועתי
3346,97,"['(colloquial) buffet (food)', 'buffet (furniture)']",בופט
3347,124,['buffalo'],בופלו
3348,98,"['fine linen', 'byssus']",בוץ
3349,159,['Botswana'],בוצונה
3350,108,['muddy'],בוצי
3351,158,['mullein (plant)'],בוצין
3352,159,"['(Aramaic) candle', 'oil lamp']",בוצינא
3353,508,['canoe'],בוצית
3354,158,['muddy'],בוצני
3355,298,['harvester (person) (of grapes)'],בוצר
3356,108,"['box (tree)', '(colloquial) beech (tree)']",בוק
3357,108,"['(Yiddish) (slang) fool', 'imbecile', 'numskull']",בוק
3358,213,['Ulmus (elm)'],בוקיצה
3359,168,"['(colloquial) punch (noun)', '(archaic, colloquial) boxing']",בוקס
3360,173,['(colloquial) nut (and bolt)'],בוקסה
3361,368,['Boxer (Chinese secret society)'],בוקסר
3362,368,['boxer (dog)'],בוקסר
3363,1794,['ice breaker'],בוקעת [שוברת] קרח
3364,208,"['(biblical) empty', 'fruitless', '(literary) looter', 'plunderer']",בוקק
3365,308,['cowboy'],בוקר
3366,714,['cattle raising'],בוקרות
3367,617,['Bucharest'],בוקרשט
3368,208,"['pit', 'bore', '(literary) dungeon']",בור
3369,208,"['ignoramus', 'dunce', 'fool']",בור
3370,208,['ignorant'],בור
3371,208,['(chemistry) boron'],בור
3372,208,"['fallow land', 'uncultivated land']",בור
3373,209,['creator'],בורא
